NO_MUNICIPIO,IN_SALA_DIRETORIA_1,IN_INTERNET_1,IN_REDES_SOCIAIS_1,IN_NOTURNO_1,IN_EJA_1,IN_SECRETARIA_1,IN_EQUIP_LOUSA_DIGITAL_1,IN_SALA_PROFESSOR_1,IN_AREA_VERDE_1,IN_REFEITORIO_1,IN_ORGAO_ASS_PAIS_1,IN_ORGAO_ASS_PAIS_MESTRES_1,IN_ORGAO_CONSELHO_ESCOLAR_1,IN_ORGAO_GREMIO_ESTUDANTIL_1,IN_BIBLIOTECA_1,IN_QUADRA_ESPORTES_1,ANO_LETIVO_1,Alunos_Turma_1,COMUNIDADE_1,ACESSIBILIDADE_1,Material_Ped_1,Equipamento_Inform_1,Lab_Inform_1,Atividades_complementares_1,Espacos_1,IN_BANHEIRO_CHUVEIRO_1,Equip_1,QT_SALAS_UTILIZADAS_1,QT_EQUIP_LOUSA_DIGITAL_1,QT_PROF_ADMINISTRATIVOS_1,QT_PROF_SERVICOS_GERAIS_1,QT_PROF_BIBLIOTECARIO_1,QT_PROF_COORDENADOR_1,QT_PROF_NUTRICIONISTA_1,QT_PROF_ALIMENTACAO_1,QT_PROF_MONITORES_1,QT_MAT_BAS_1,QT_MAT_EJA_1,QT_MAT_BAS_0_3_1,QT_MAT_BAS_4_5_1,QT_MAT_BAS_6_10_1,QT_MAT_BAS_11_14_1,QT_MAT_BAS_15_17_1,QT_MAT_BAS_18_MAIS_1,QT_DOC_BAS_1,QT_TUR_BAS_1,nEscolas,Homicidios,Furto,QT_EQ_MULTIMIDIA,QT_EQUIP_INFORMATICA,QT_PROF_SUPORTE,densidade_demografica,populacao_estimada,salario_medio_mensal_trabalhadores_formais,perc_pop_rend_per_capta_meio_sm,tx_escolarizacao_16_14,IDEB_anos_iniciais_ef,IDEB_anos_finais_ef,idhm,pib_per_capta,mortalidade_infantil,esgotamento_sanitario_adequado,sus_hab,perc_populacao_exposta_risco,escolas_hab,homicidios_hab,furtos_hab,NU_TAXA_APROVACAO_1,NU_TAXA_REPROVACAO_1,NU_TAXA_ABANDONO_1
Álvares Florence,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666666666667,0.0,0.33333333333333304,0.0,1.0,1.0,0.666666666666667,0.0,0.666666666666667,321.66666666666697,12.385185185185199,0.33333333333333304,1.0,6.66666666666667,1.0,0.33333333333333304,0.666666666666667,2.6666666666666696,0.0,5.33333333333333,9.666666666666666,0.0,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.0,136.66666666666666,0.0,27.666666666666668,22.666666666666668,64.33333333333333,21.0,1.0,0.0,12.666666666666666,10.0,3,0,51,6.0,10.666666666666666,0.3333333333333333,10.74,3616,2.1,0.336,0.993,6.6,5.8,0.728,27525.23,,0.826,55.309734513274336,0.0,82.96460176991151,0.0,1410.3982300884957,0.968,0.016,0.016
Álvares Machado,0.916666666666667,0.916666666666667,0.75,0.0,0.0,0.75,0.0,0.75,0.0833333333333333,0.5,2.25,2.9166666666666696,2.9166666666666696,2.4166666666666696,0.166666666666667,0.5,316.16666666666697,19.401103757353802,0.33333333333333304,0.833333333333333,5.08333333333333,0.5,0.5,0.5,3.4166666666666696,0.25,5.75,8.416666666666666,0.0,0.5833333333333334,5.833333333333333,0.08333333333333333,0.3333333333333333,0.9166666666666666,0.16666666666666666,0.0,275.1666666666667,0.0,22.25,45.416666666666664,103.83333333333333,90.66666666666667,12.833333333333334,0.16666666666666666,14.916666666666666,12.5,12,0,155,6.75,5.333333333333333,1.9166666666666667,67.69,25078,2.4,0.321,0.983,5.9,5.0,0.758,20521.18,9.4,0.892,31.900470531940346,0.0,47.85070579791052,0.0,618.0716165563442,0.8276358974358969,0.143964102564103,0.0284
Americana,0.941176470588235,0.862745098039216,0.19607843137254896,0.0392156862745098,0.0392156862745098,0.549019607843137,0.156862745098039,0.529411764705882,0.215686274509804,0.7843137254901958,0.411764705882353,0.941176470588235,1.0,0.3725490196078429,0.254901960784314,0.19607843137254896,321.980392156863,21.5774127303825,0.0980392156862745,0.11764705882352902,4.66666666666667,0.3529411764705879,0.215686274509804,0.254901960784314,3.5294117647058796,0.23529411764705901,5.82352941176471,8.568627450980392,2.0980392156862746,0.7450980392156863,3.2549019607843137,0.11764705882352941,1.0,0.0,4.098039215686274,0.0392156862745098,254.27450980392157,1.1372549019607843,45.254901960784316,75.52941176470588,91.86274509803921,38.0,2.156862745098039,1.4705882352941178,17.11764705882353,10.72549019607843,51,8,2497,11.294117647058824,5.0588235294117645,1.1372549019607843,1572.75,244370,2.8,0.264,0.98,6.9,5.6,0.8109999999999999,49876.81,6.6,0.988,15.140974751401563,0.0,20.86999222490486,3.273724270573311,1021.8111879526947,0.942174573055028,0.0442643896268185,0.0135610373181531
Américo Brasiliense,0.7142857142857142,0.7857142857142858,0.5,0.0714285714285714,0.0714285714285714,0.7857142857142858,0.214285714285714,0.7857142857142858,0.0714285714285714,0.5,1.35714285714286,2.14285714285714,1.92857142857143,1.57142857142857,0.14285714285714302,0.214285714285714,310.0,21.937652568603202,0.7142857142857142,0.28571428571428603,5.857142857142861,0.5,0.42857142857142894,0.214285714285714,2.78571428571429,0.14285714285714302,5.5,13.285714285714286,0.5,1.2857142857142858,6.357142857142857,0.14285714285714285,0.5,0.0,0.14285714285714285,1.0714285714285714,387.7142857142857,6.357142857142857,73.28571428571429,66.78571428571429,161.07142857142858,77.35714285714286,2.9285714285714284,6.285714285714286,21.285714285714285,16.857142857142858,14,2,274,10.357142857142858,9.214285714285714,0.5,280.91,41545,2.3,0.327,0.986,6.9,5.2,0.7509999999999999,20947.93,9.66,0.993,12.035142616440005,0.0,33.69839932603201,4.814057046576002,659.5258153809123,0.8739106145251401,0.10707821229050302,0.0190111731843575
Américo de Campos,0.75,0.75,0.25,0.0,0.0,0.75,0.25,0.75,0.0,0.75,2.25,3.0,3.0,2.75,0.5,0.25,318.25,20.637648809523803,0.5,0.25,6.25,0.75,0.75,1.0,3.0,0.5,6.0,9.5,0.25,1.0,1.75,0.5,0.25,0.75,2.0,0.5,236.5,0.0,31.0,29.75,83.75,63.5,26.75,1.75,12.25,11.0,4,0,77,12.75,15.0,1.0,22.54,5993,2.0,0.29,0.982,6.3,5.6,0.745,17089.52,,0.866,16.68613382279326,0.0,66.74453529117304,0.0,1284.8323043550809,0.972568181818182,0.0274318181818182,0.0
Amparo,0.923076923076923,0.923076923076923,0.0,0.0769230769230769,0.0769230769230769,0.307692307692308,0.0,0.46153846153846206,0.0,1.0,0.0,0.961538461538462,1.0,0.0,0.0,0.269230769230769,321.0,16.4345500182321,0.0,0.0,3.26923076923077,0.42307692307692296,0.384615384615385,0.46153846153846206,2.69230769230769,0.115384615384615,6.346153846153849,7.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.76923076923077,2.6538461538461537,49.5,54.11538461538461,79.26923076923077,3.1538461538461537,0.07692307692307693,2.6538461538461537,23.23076923076923,11.615384615384615,26,4,466,15.461538461538462,10.038461538461538,0.0,147.75,73145,2.7,0.249,0.9570000000000001,6.8,5.8,0.785,58791.02,9.03,0.887,38.280128511860006,0.11777975254631212,35.54583361815572,5.468589787408572,637.0907102330987,0.954333333333333,0.0367090909090909,0.00895757575757576
Andradina,0.3666666666666671,0.5333333333333329,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.5,0.1,0.266666666666667,0.1,0.766666666666667,1.26666666666667,1.8666666666666698,1.5666666666666698,1.23333333333333,0.0,0.33333333333333304,316.9,16.6770948203843,0.23333333333333303,0.23333333333333303,4.0,0.5,0.3,0.23333333333333303,2.0,0.133333333333333,4.0,7.366666666666666,0.1,1.1666666666666667,3.1,0.6,1.1666666666666667,0.03333333333333333,0.6,0.26666666666666666,158.5,0.8666666666666667,23.966666666666665,39.8,90.26666666666667,3.6,0.0,0.8666666666666667,16.333333333333332,8.433333333333334,30,5,713,5.066666666666666,5.6,1.2,57.39,57245,2.2,0.31,0.982,7.0,5.3,0.779,35989.67,6.24,0.912,17.468774565464233,0.0,52.4063236963927,8.734387282732117,1245.5236265175997,0.9496611374407579,0.0335568720379147,0.016781990521327
Angatuba,0.666666666666667,1.0,0.0,0.111111111111111,0.111111111111111,0.444444444444444,0.0,0.555555555555556,0.111111111111111,0.444444444444444,0.0,0.8888888888888891,0.0,0.0,0.0,0.555555555555556,322.0,18.9720849520849,0.0,0.666666666666667,2.6666666666666696,0.555555555555556,0.8888888888888891,0.555555555555556,2.0,0.222222222222222,5.77777777777778,13.333333333333334,0.0,2.111111111111111,5.0,0.2222222222222222,0.0,0.0,2.111111111111111,0.0,388.8888888888889,0.8888888888888888,54.22222222222222,70.44444444444444,147.55555555555554,110.11111111111111,5.555555555555555,1.0,19.666666666666668,18.444444444444443,9,1,194,13.222222222222221,5.111111111111111,2.7777777777777777,21.61,25724,2.7,0.31,0.983,6.9,5.6,0.7190000000000001,39905.39,15.82,0.846,58.31130461825533,0.0,34.9867827709532,3.8874203078836884,754.1595397294356,0.857792553191489,0.12153191489361699,0.0206755319148936
Anhumas,1.0,1.0,0.0,0.0,0.0,1.0,0.33333333333333304,1.0,0.666666666666667,1.0,0.0,0.0,0.666666666666667,0.0,0.0,0.33333333333333304,316.0,20.1929292929293,0.33333333333333304,0.666666666666667,8.0,0.33333333333333304,0.666666666666667,0.666666666666667,4.0,1.0,6.33333333333333,7.0,0.3333333333333333,1.0,8.0,0.3333333333333333,0.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,154.0,0.0,39.333333333333336,29.666666666666668,83.66666666666667,1.3333333333333333,0.0,0.0,10.666666666666666,7.333333333333333,3,0,19,10.0,7.0,1.0,11.66,4172,2.1,0.341,0.983,7.2,5.6,0.741,18131.98,,0.87,23.969319271332694,0.0,71.90795781399808,0.0,455.4170661553212,0.968,0.008,0.024
Aparecida,1.0,0.8461538461538459,0.653846153846154,0.0769230769230769,0.0769230769230769,0.7307692307692311,0.307692307692308,0.615384615384615,0.0384615384615385,0.576923076923077,0.42307692307692296,1.26923076923077,1.11538461538462,0.615384615384615,0.269230769230769,0.42307692307692296,312.346153846154,20.2058893906364,0.384615384615385,0.384615384615385,4.03846153846154,0.384615384615385,0.34615384615384603,0.307692307692308,2.23076923076923,0.0769230769230769,5.230769230769231,7.884615384615385,0.3076923076923077,1.2307692307692308,2.1153846153846154,0.07692307692307693,0.38461538461538464,0.0,0.9230769230769231,0.23076923076923078,214.6153846153846,5.384615384615385,27.192307692307693,29.153846153846153,73.88461538461539,64.42307692307692,12.0,7.961538461538462,11.576923076923077,10.153846153846153,26,5,568,5.1923076923076925,9.423076923076923,0.6153846153846154,289.13,36211,1.9,0.319,0.9840000000000001,6.7,5.6,0.755,31641.35,14.2,0.966,33.1391013780343,0.0,71.80138631907431,13.80795890751429,1568.5841318936234,0.909142857142857,0.0624642857142857,0.0283928571428571
Aparecida d'Oeste,1.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,327.0,17.0929487179488,1.0,0.5,5.0,0.5,0.5,0.5,3.0,0.5,7.0,7.5,0.5,0.5,2.5,1.5,0.0,1.0,3.0,1.5,214.0,0.0,49.0,52.0,111.0,2.0,0.0,0.0,35.0,12.5,2,0,24,14.0,5.5,7.0,24.86,4122,1.9,0.33899999999999997,0.977,6.7,5.5,0.721,24144.9,29.41,0.8059999999999999,72.7802037845706,0.0,48.5201358563804,0.0,582.2416302765648,0.9129999999999999,0.035,0.052000000000000005
Apiaí,0.46666666666666706,0.6,0.2,0.0,0.0,0.5333333333333329,0.0,0.266666666666667,0.0666666666666667,0.666666666666667,1.2,1.6,1.8666666666666698,1.2,0.133333333333333,0.2,319.33333333333303,15.692467532467502,0.4,0.0,4.13333333333333,0.4,0.266666666666667,0.0666666666666667,1.9333333333333302,0.0666666666666667,4.73333333333333,7.8,0.0,0.9333333333333333,2.7333333333333334,1.1333333333333333,0.6,0.0,1.9333333333333333,0.7333333333333333,146.4,0.0,30.333333333333332,45.93333333333333,64.73333333333333,1.4,0.8666666666666667,3.1333333333333333,21.066666666666666,8.4,15,1,213,6.4,4.0,1.1333333333333333,25.85,24081,2.1,0.418,0.973,6.5,5.5,0.71,24660.33,2.75,0.544,58.137120551472115,0.2654374818321498,62.28977201943441,4.152651467962294,884.5147626759687,0.9788790322580642,0.0211209677419355,0.0
Araçatuba,0.953846153846154,0.953846153846154,0.4,0.123076923076923,0.138461538461538,0.707692307692308,0.10769230769230802,0.815384615384615,0.33846153846153804,0.861538461538462,0.0307692307692308,0.9384615384615379,1.0,0.0153846153846154,0.23076923076923103,0.4,317.415384615385,21.0114638867126,0.307692307692308,0.46153846153846206,5.923076923076921,0.892307692307692,0.430769230769231,0.4,3.18461538461538,0.369230769230769,6.1692307692307695,8.892307692307693,0.1076923076923077,0.7692307692307693,3.3230769230769233,0.0,0.2923076923076923,0.07692307692307693,1.7846153846153847,0.03076923076923077,284.9846153846154,4.015384615384615,62.707692307692305,76.6923076923077,134.35384615384615,7.2,0.03076923076923077,4.0,19.369230769230768,13.292307692307693,65,23,2245,10.830769230769231,13.723076923076922,1.2923076923076924,155.54,199210,2.4,0.28800000000000003,0.976,6.9,5.4,0.7879999999999999,39630.87,11.82,0.98,22.589227448421266,0.0,32.62888409216405,11.545605140304202,1126.9514582601275,0.9389035567715459,0.0526600547195622,0.00843638850889193
Araçoiaba da Serra,0.791666666666667,0.708333333333333,0.25,0.0,0.0,0.4583333333333329,0.4583333333333329,0.5,0.0,0.583333333333333,0.791666666666667,1.6666666666666698,1.6666666666666698,0.833333333333333,0.0416666666666667,0.5,317.08333333333303,19.1636544583055,0.25,0.5416666666666671,4.875,0.5416666666666671,0.4166666666666671,0.166666666666667,2.5833333333333304,0.0833333333333333,4.54166666666667,7.166666666666667,1.7916666666666667,1.1666666666666667,2.4166666666666665,0.125,0.4166666666666667,0.0,1.625,0.625,215.0,0.0,23.75,33.75,85.91666666666667,68.29166666666667,3.2916666666666665,0.0,21.208333333333332,10.25,24,1,287,6.916666666666667,8.375,0.2916666666666667,106.88,35389,2.4,0.32899999999999996,0.9940000000000001,6.5,5.2,0.7759999999999999,24299.7,2.83,0.541,14.128684054367175,0.0,67.81768346096244,2.825736810873435,810.9864647206759,1.0,0.0,0.0
Aramina,1.0,1.0,0.0,0.0,0.0,0.75,0.25,0.75,0.25,0.75,0.0,0.5,0.25,0.0,0.25,0.25,310.0,13.519736842105301,0.25,0.25,4.75,0.25,0.25,0.5,2.75,0.5,5.5,8.0,2.75,0.0,2.0,0.25,2.5,1.0,1.75,0.75,160.0,0.0,38.0,35.25,82.0,4.75,0.0,0.0,12.5,10.25,4,1,43,8.25,1.75,2.0,25.39,5689,2.0,0.332,0.987,6.1,4.5,0.74,26353.62,,0.9359999999999999,17.577781683951486,0.0,70.31112673580594,17.577781683951486,755.8446124099139,0.976,0.0,0.024
Araraquara,1.0,0.836363636363636,0.25454545454545496,0.0363636363636364,0.0363636363636364,0.34545454545454496,0.43636363636363595,0.45454545454545503,0.14545454545454503,0.9636363636363641,0.18181818181818202,0.327272727272727,1.05454545454545,0.418181818181818,0.563636363636364,0.34545454545454496,315.672727272727,14.0237333448082,0.18181818181818202,0.327272727272727,5.76363636363636,0.818181818181818,0.30909090909090897,0.30909090909090897,2.69090909090909,0.23636363636363603,5.61818181818182,10.090909090909092,0.43636363636363634,0.2545454545454545,3.2,0.3090909090909091,0.34545454545454546,0.09090909090909091,3.272727272727273,0.41818181818181815,329.92727272727274,7.672727272727273,95.76363636363637,85.49090909090908,94.0,43.49090909090909,4.890909090909091,6.290909090909091,15.054545454545455,22.436363636363637,55,15,2465,7.7272727272727275,10.127272727272727,1.4,207.9,240542,2.6,0.29,0.987,6.7,5.3,0.815,42474.25,8.91,0.985,17.87629603146228,0.0,22.865029807684312,6.23591722027754,1024.7690631989424,0.96608445945946,0.0331190878378378,0.000796452702702703
Araras,0.953488372093023,0.9767441860465121,0.39534883720930203,0.0465116279069767,0.0465116279069767,0.7674418604651159,0.41860465116279105,0.953488372093023,0.0465116279069767,0.86046511627907,0.697674418604651,1.53488372093023,1.51162790697674,0.7209302325581389,0.0,0.511627906976744,315.09302325581405,19.6065989598049,0.232558139534884,0.32558139534883695,5.41860465116279,0.6511627906976739,0.41860465116279105,0.534883720930233,3.09302325581395,0.348837209302326,4.97674418604651,10.046511627906977,1.930232558139535,0.2558139534883721,3.883720930232558,0.023255813953488372,0.13953488372093023,0.046511627906976744,2.13953488372093,2.2093023255813953,319.48837209302326,9.604651162790697,89.46511627906976,88.48837209302326,89.69767441860465,39.0,4.046511627906977,8.790697674418604,19.0,15.790697674418604,43,7,1198,8.767441860465116,8.69767441860465,0.9767441860465116,184.3,136739,2.8,0.306,0.975,7.0,5.6,0.7809999999999999,44204.85,8.01,0.986,24.13356833090779,0.0,31.4467708554253,5.119241767162258,876.1216624371979,0.9456855409504549,0.036061678463094,0.018252780586451002
