municipio;gentilico;populacao_ultimo_senso;densidade_demografica;populacao_estimada;pessoal_ocupado;salario_medio_mensal_trabalhadores_formais;populacao_ocupada;perc_pop_rend_per_capta_meio_sm;matriculas_ensino_fundamental;matriculas_ensino_medio;docentes_ensino_fundamental;tx_escolarizacao_16_14;IDEB_anos_iniciais_ef;IDEB_anos_finais_ef;escolas_ensino_fundamental;escolas_ensino_medio;idhm;pib_per_capta;perc_receitas_fontes_externas;qt_estabelecimentos_saude_sus;area_unidade_territorial;mortalidade_infantil;esgotamento_sanitario_adequado;internacoes_por_diarreia;arborizavao_vias_publixas;urbanizacao_vias_publicas;bioma;sistema_costeiro_marinho;hierarquia_urbana;populacao_exposta_risco;regiao_influencia;regiao_intermediaria;regiao_imediata;mesorregiao;microrregiao
Bálsamo;paulista;8160;54.18;9209;1992;2.4;0.22;0.266;872;214;51;0.99;7.1;5.3;2;1;0.756;23847.85;0.825;1;149.881;10.75;0.917;0.7;0.994;0.21;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José do Rio Preto/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
Palmares Paulista;paulista;10934;133.14;13691;1014;1.9;0.076;0.282;1241;311;75;0.982;6.5;5.7;4;1;0.722;9267.56;0.825;2;82.125;;0.976;0.1;0.984;0.02;Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Santa Adélia - Palmares Paulista - Ariranha/SP;0;Arranjo Populacional de Catanduva/SP - Capital Regional C (2C);São José do Rio Preto;Catanduva;São José do Rio Preto;Catanduva
Ibirarema;paulista;6725;29.45;7926;819;2.1;0.106;0.341;755;177;49;0.974;6.4;;2;1;0.708;21971.29;0.825;1;228.23;14.29;0.884;0.1;0.998;0.034;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Ourinhos/SP - Centro Subregional A (3A);Marília;Ourinhos;Assis;Assis
Juquitiba;paulista;28737;55.03;31844;4935;2;0.157;0.414;4411;1233;292;0.985;6.6;5.2;22;7;0.709;17311.76;0.826;10;522.169;14.08;0.468;0.2;0.241;0.311;Mata Atlântica;Não pertence;Centro Local (5);131;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Itapecerica da Serra
Ribeirão Grande;paulista;7422;22.26;7686;852;1.8;0.111;0.408;1096;289;74;0.968;6.4;5.8;8;3;0.705;25305.68;0.826;1;333.363;;0.473;0.3;0.187;0.014;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Capão Bonito/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Sorocaba;Itapeva;Itapetininga;Capão Bonito
Santo Antônio do Jardim;paulista;5943;54.05;5926;1569;2;0.264;0.257;762;209;54;0.97;7.4;5.8;3;2;0.714;28733.24;0.827;1;109.956;;0.625;;0.822;0.493;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São João da Boa Vista/SP - Centro Subregional A (3A);Campinas;São João da Boa Vista;Campinas;São João da Boa Vista
Santo Anastácio;paulista;20475;37.06;20855;3709;2.2;0.178;0.345;2092;588;152;0.985;6.6;4.6;10;6;0.753;19539.26;0.828;7;552.876;25.51;0.933;2.8;0.997;0.37;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Taiúva;paulista;5447;41.12;5562;849;2.1;0.153;0.271;562;102;37;0.978;6.4;5.5;2;1;0.76;19959.4;0.828;3;132.459;16.67;0.964;;0.988;0.189;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Bebedouro - Centro Subregional B (3B);Ribeirão Preto;Barretos;Ribeirão Preto;Jaboticabal
Panorama;paulista;14583;40.93;15944;3110;1.8;0.197;0.31;1948;510;125;0.958;6;5;9;3;0.722;17416.08;0.829;5;356.05;5.65;0.923;3;0.819;0.08;Mata Atlântica;Não pertence;Centro Local (5);0;Dracena - Centro Subregional B (3B);Presidente Prudente;Dracena;Presidente Prudente;Dracena
Santo Antônio do Pinhal;paulista;6486;48.76;6843;1335;1.8;0.196;0.325;996;225;68;0.983;6.5;5.4;7;1;0.706;17552.11;0.829;8;133.008;;0.649;0.7;0.72;0.455;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José dos Campos/SP - Capital Regional B (2B);São José dos Campos;Taubaté - Pindamonhangaba;Vale do Paraíba Paulista;Campos do Jordão
Estrela d'Oeste;paulista;8208;27.69;8420;3573;1.9;0.424;0.287;962;258;77;0.99;6.9;5.4;4;2;0.76;48610.53;0.829;2;296.281;;0.816;2;0.995;0.309;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Fernandópolis/SP - Centro Subregional A (3A);São José do Rio Preto;Fernandópolis;São José do Rio Preto;Fernandópolis
Santa Rita d'Oeste;paulista;2543;12.1;2476;353;2.1;0.141;0.274;230;66;26;1;7.2;6;2;1;0.761;24971.23;0.829;1;209.8;;0.669;;0.998;0.108;Mata Atlântica;Não pertence;Centro de Zona A (4A) - Município integrante do Arranjo Populacional de Santa Fé do Sul/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Santa Fé do Sul;São José do Rio Preto;Jales
Tabapuã;paulista;11363;32.88;12561;2281;2.2;0.184;0.257;1221;332;75;0.984;7.5;6;4;1;0.735;20075.44;0.829;5;345.792;10.1;0.989;2.4;0.993;0.291;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Catanduva/SP - Capital Regional C (2C);São José do Rio Preto;Catanduva;São José do Rio Preto;Catanduva
Estiva Gerbi;paulista;10044;135.35;11507;2496;2.6;0.221;0.332;1297;323;86;0.986;5.6;4.9;6;1;0.74;28196.3;0.83;2;74.144;15.63;0.886;0.6;1;0.571;Cerrado.Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Mogi Guaçu - Mogi Mirim/SP;304;Arranjo Populacional de Campinas/SP - Metrópole (1C)\. Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Mogi Guaçu;Campinas;Mogi Mirim
Cajati;paulista;28372;62.43;28441;6707;2.5;0.235;0.412;4359;1055;258;0.984;6.9;4.9;18;6;0.694;48844.3;0.83;7;454.436;9.3;0.691;0.2;0.424;0.257;Mata Atlântica;Não pertence;Centro Local (5);5126;Registro - Centro Subregional B (3B);Sorocaba;Registro;Litoral Sul Paulista;Registro
Alambari;paulista;4884;30.66;6231;1086;1.8;0.18;0.325;708;230;48;0.993;6.5;5.2;5;1;0.712;17145.55;0.83;5;159.6;;0.591;0.2;0.485;0.14;Cerrado.Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Itapetininga/SP;0;Arranjo Populacional de Sorocaba/SP - Capital Regional B (2B);Sorocaba;Itapetininga;Itapetininga;Itapetininga
Pontal;paulista;40244;112.94;51717;10556;2.6;0.211;0.353;4994;1333;312;0.945;7.3;5.1;16;8;0.725;18213.93;0.831;11;356.371;11.41;0.994;0.7;0.968;0.029;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
Santa Rosa de Viterbo;paulista;23862;82.69;26960;4831;2.5;0.182;0.348;2785;744;176;0.979;6.1;5.4;11;5;0.77;25962.52;0.831;9;288.576;9.48;0.993;0.5;0.944;0.559;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
Itaju;paulista;3246;14.12;3937;642;1.9;0.167;0.28;429;115;36;0.987;7.2;5.4;2;1;0.705;25439.78;0.831;1;230.355;25;0.995;0.8;0.938;0.201;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Jaú - Capital Regional C (2C);Bauru;Jaú;Bauru;Jaú
Sebastianópolis do Sul;paulista;3031;18.03;3595;2640;3.4;0.751;0.235;404;86;28;0.99;8.3;5.8;2;1;0.773;68468.34;0.831;1;167.848;;0.901;1.2;0.999;0.076;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Votuporanga/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Votuporanga;São José do Rio Preto;Nhandeara
União Paulista;paulista;1599;20.21;1886;330;2;0.179;0.289;211;43;17;0.968;;;2;1;0.749;24311.01;0.833;1;79.056;;0.787;2.8;1;0.186;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;Nhandeara
Guaiçara;paulista;10670;39.35;12416;1507;2.1;0.124;0.298;1460;334;86;0.984;6.3;4.4;5;1;0.739;13646.78;0.834;5;277.154;6.94;0.89;0.3;0.946;0.206;Mata Atlântica;Não pertence;Centro Local (5);0;Lins - Centro Subregional B (3B);Bauru;Lins;Bauru;Lins
Itararé;paulista;47934;47.76;50778;9069;1.8;0.18;0.385;5701;1873;366;0.98;6.6;5.4;25;11;0.703;18709.48;0.834;18;1003.86;10.54;0.869;1.5;0.6;0.311;Cerrado.Mata Atlântica;Não pertence;Centro Subregional B (3B);0;Itapeva - Centro Subregional A (3A);Sorocaba;Itapeva;Itapetininga;Itapeva
Pereira Barreto;paulista;24962;25.5;25685;5697;2.5;0.222;0.343;2985;689;189;0.981;7.7;5.6;9;3;0.766;29881.28;0.834;9;974.247;20.58;0.949;1;0.948;0.195;Mata Atlântica;Não pertence;Centro de Zona B (4B);0;Araçatuba - Capital Regional C (2C);Araçatuba;Andradina;Araçatuba;Andradina
Fernão;paulista;1563;15.51;1739;272;2.4;0.159;0.336;234;79;19;0.991;6.5;5.8;2;1;0.703;38030.07;0.834;1;100.504;;0.668;;0.993;0.325;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Marília/SP - Capital Regional C (2C);Marília;Marília;Marília;Marília
Queluz;paulista;11309;45.27;13788;1834;2.1;0.137;0.371;1154;273;78;0.98;6;4.5;6;1;0.722;25216.99;0.835;5;249.399;;0.728;0.1;0.875;0.562;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Cruzeiro/SP - Centro Subregional B (3B);São José dos Campos;Cruzeiro;Vale do Paraíba Paulista;Guaratinguetá
Bocaina;paulista;10859;29.84;12571;3531;2.4;0.286;0.255;1279;336;83;0.993;6.9;5.1;6;2;0.742;18530.95;0.835;5;363.926;7.94;0.952;0.1;0.992;0.279;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Jaú - Capital Regional C (2C);Bauru;Jaú;Bauru;Jaú
Duartina;paulista;12251;46.31;12421;2505;2.1;0.201;0.286;1372;330;106;0.983;6.9;5.3;7;3;0.748;19091.79;0.835;7;264.557;15.87;0.943;2;0.965;0.507;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Bauru/SP - Capital Regional B (2B);Bauru;Bauru;Bauru;Bauru
Guariba;paulista;35486;131.29;40857;8196;2.5;0.204;0.344;4974;1416;245;0.973;6.7;5.5;16;5;0.719;21915.57;0.835;8;270.289;10.31;0.99;0.8;0.985;0.218;Cerrado.Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Guariba/SP;0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Jaboticabal
Severínia;paulista;15501;110.38;17820;2596;2.2;0.148;0.308;1817;444;100;0.96;6.5;5;6;1;0.715;13747.22;0.836;5;140.46;37.43;0.964;0.8;0.975;0.122;Mata Atlântica;Não pertence;Centro Local (5);0;Olímpia - Centro Subregional B (3B);Ribeirão Preto;Barretos;São José do Rio Preto;Catanduva
Pederneiras;paulista;41497;56.92;47523;12615;2.6;0.27;0.327;5657;1590;372;0.983;6.2;5;24;10;0.739;43937.88;0.837;17;727.482;3.98;0.931;0.4;0.974;0.249;Cerrado.Mata Atlântica;Não pertence;Centro de Zona A (4A);0;Arranjo Populacional de Bauru/SP - Capital Regional B (2B);Bauru;Bauru;Bauru;Jaú
Martinópolis;paulista;24219;19.33;26791;3309;2.1;0.125;0.376;2822;794;178;0.981;7.2;5.2;10;5;0.721;18294.11;0.837;10;1253.564;3.61;0.894;1.3;0.866;0.072;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Gavião Peixoto;paulista;4419;18.13;4841;4154;4.9;0.867;0.295;619;183;64;0.987;6.4;4.2;3;1;0.719;225346.38;0.838;4;243.766;;0.869;;0.999;0.4;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Araraquara/SP;0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Araraquara;Araraquara;Araraquara;Araraquara
Charqueada;paulista;15085;85.79;17539;2851;2.4;0.166;0.333;1836;471;118;0.979;6.6;5;7;2;0.736;19182.29;0.838;8;175.846;22.1;0.875;1;0.727;0.285;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Piracicaba/SP;303;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Piracicaba;Piracicaba;Piracicaba
Cândido Rodrigues;paulista;2668;37.94;2805;660;1.8;0.236;0.226;239;103;25;0.99;6.9;5.2;1;1;0.789;37940.76;0.838;1;70.892;45.45;0.85;0.7;0.993;0.173;Mata Atlântica;Não pertence;Centro Local (5);0;Taquaritinga - Centro Subregional B (3B);Araraquara;Araraquara;Ribeirão Preto;Jaboticabal
Monte Castelo;paulista;4063;17.47;4166;606;2;0.145;0.297;438;132;36;0.982;7;5.2;2;1;0.741;23387.73;0.838;1;233.547;;0.787;3.8;0.765;0.159;Mata Atlântica;Não pertence;Centro Local (5);0;Dracena - Centro Subregional B (3B);Presidente Prudente;Dracena;Presidente Prudente;Dracena
Dumont;paulista;8143;73.13;10174;2174;2.3;0.22;0.334;1110;275;54;0.976;6.8;5.3;4;1;0.744;19740.38;0.838;3;111.376;9.01;0.969;0.2;0.896;0.39;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
Piedade;paulista;52143;69.82;55731;8184;2.1;0.148;0.348;6426;1814;401;0.956;7.3;5.5;31;12;0.716;23365.29;0.838;8;746.868;9.06;0.456;0.3;0.7;0.333;Mata Atlântica;Não pertence;Centro de Zona A (4A);0;Arranjo Populacional de Sorocaba/SP - Capital Regional B (2B);Sorocaba;Sorocaba;Macro Metropolitana Paulista;Piedade
Populina;paulista;4223;13.37;4136;462;2.4;0.111;0.296;488;119;44;0.996;;6.2;2;1;0.714;23389.52;0.838;2;315.938;24.39;0.892;;1;0.056;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Fernandópolis/SP - Centro Subregional A (3A)\. Arranjo Populacional de Jales/SP - Centro Subregional B (3B);São José do Rio Preto;Jales;São José do Rio Preto;Jales
Gastão Vidigal;paulista;4193;23.17;4911;344;2.6;0.072;0.254;399;120;30;0.966;5.9;5.7;2;1;0.723;15273.46;0.839;1;180.569;;0.948;0.9;1;0.099;Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Gastão Vidigal - Monções/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);Araçatuba;Araçatuba;São José do Rio Preto;Auriflama
Turmalina;paulista;1978;13.37;1667;285;2.3;0.165;0.281;141;40;25;0.971;7.1;6;2;1;0.736;34229.02;0.839;2;147.797;;0.74;0.5;1;0.097;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Fernandópolis/SP - Centro Subregional A (3A)\. Arranjo Populacional de Jales/SP - Centro Subregional B (3B);São José do Rio Preto;Jales;São José do Rio Preto;Fernandópolis
Mira Estrela;paulista;2820;13.01;3125;473;2;0.153;0.302;312;52;26;0.972;6.6;6.2;2;1;0.743;21848.8;0.839;1;216.825;;0.78;0.7;0.982;0.27;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Fernandópolis/SP - Centro Subregional A (3A);São José do Rio Preto;Fernandópolis;São José do Rio Preto;Fernandópolis
Caconde;paulista;18538;39.44;19031;4137;2;0.218;0.343;1872;554;134;0.977;6.6;5.1;9;4;0.72;21186.59;0.84;5;468.214;9.3;0.681;1.7;0.838;0.592;Mata Atlântica;Não pertence;Centro Local (5);0;São José do Rio Pardo - Centro Subregional B (3B);Campinas;São José do Rio Pardo - Mococa;Campinas;São João da Boa Vista
Elias Fausto;paulista;15775;77.83;18095;5377;2.9;0.303;0.335;2262;582;110;0.973;6.7;5.2;6;2;0.695;40503.17;0.84;2;202.36;;0.887;0.2;0.915;0.077;Mata Atlântica;Não pertence;Centro Local (5);0;Indaiatuba - Centro Subregional A (3A);Campinas;Campinas;Campinas;Campinas
Catiguá;paulista;7127;48.03;7905;817;2.3;0.105;0.296;793;218;50;0.984;7.3;5.4;2;1;0.751;16925.94;0.84;1;148.393;;0.899;0.5;0.977;0.128;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Catanduva/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Catanduva;São José do Rio Preto;Catanduva
Vista Alegre do Alto;paulista;6886;72.5;9163;3026;3;0.343;0.251;908;246;50;1;6.6;5.6;2;1;0.744;30427.55;0.84;3;95.429;;0.93;;0.981;0.442;Mata Atlântica;Não pertence;Centro Local (5);0;Monte Alto - Centro de Zona A (4A);São José do Rio Preto;Catanduva;Ribeirão Preto;Jaboticabal
Iaras;paulista;6376;15.89;9786;1724;2.7;0.187;0.573;881;265;74;0.985;6.4;;6;6;0.674;15632.82;0.84;4;401.381;12.82;0.577;2.1;0.453;0.234;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Avaré - Centro Subregional B (3B);Sorocaba;Avaré;Bauru;Avaré
Júlio Mesquita;paulista;4430;34.55;4824;598;1.7;0.125;0.32;511;175;47;0.977;5.8;4.9;3;1;0.716;11235.21;0.841;1;128.183;;0.918;0.4;0.997;0.204;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Marília/SP - Capital Regional C (2C);Marília;Marília;Bauru;Lins
Chavantes;paulista;12114;64.4;12418;1900;2.8;0.153;0.332;1418;308;102;0.986;6.8;4.9;8;1;0.729;17161.02;0.842;7;188.727;7.41;0.911;9.1;0.99;0.233;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Ourinhos/SP - Centro Subregional A (3A);Marília;Ourinhos;Assis;Ourinhos
Lavrinhas;paulista;6590;39.45;7361;880;2;0.121;0.422;912;201;67;0.985;5.9;5.1;6;2;0.729;14241.56;0.842;4;167.067;;0.816;0.4;0.834;0.293;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Cruzeiro/SP;0;Arranjo Populacional de Lorena/SP - Centro Subregional A (3A);São José dos Campos;Cruzeiro;Vale do Paraíba Paulista;Guaratinguetá
Ipuã;paulista;14148;30.37;16794;2870;2;0.175;0.339;1827;418;121;0.98;6.1;5.1;9;3;0.749;22422.43;0.842;5;466.461;6.25;0.955;0.6;0.959;0.269;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Ribeirão Preto;São Joaquim da Barra ¿ Orlândia;Ribeirão Preto;São Joaquim da Barra
Ribeirão Bonito;paulista;12135;25.73;13376;2021;2;0.153;0.292;1575;362;101;0.987;6;4.5;7;2;0.712;22659.97;0.843;7;471.553;7.63;0.922;0.5;0.978;0.226;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São Carlos/SP - Capital Regional C (2C);Araraquara;São Carlos;Araraquara;São Carlos
Herculândia;paulista;8696;23.85;9649;1305;2.3;0.137;0.371;872;273;58;0.984;6.3;4.7;3;1;0.727;29219.01;0.843;7;364.252;17.54;0.877;20.5;0.786;0.134;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Tupã/SP - Centro Subregional B (3B);Marília;Tupã;Marília;Tupã
Avanhandava;paulista;11310;33.4;14063;1803;2.5;0.132;0.409;1429;342;83;0.972;6.7;4.8;4;2;0.705;23480.31;0.843;2;338.37;8;0.941;0.6;0.993;0.027;Mata Atlântica;Não pertence;Centro Local (5);0;Penápolis - Centro Subregional B (3B);Araçatuba;Birigui - Penápolis;Araçatuba;Birigui
Itapuí;paulista;12173;86.46;14297;4891;2;0.35;0.267;1663;325;91;0.965;6.9;4.8;4;1;0.725;43782.6;0.843;5;140.023;10.31;0.984;1.9;0.982;0.077;Mata Atlântica;Não pertence;Centro Local (5);0;Jaú - Capital Regional C (2C);Bauru;Jaú;Bauru;Jaú
Valparaíso;paulista;22576;26.33;27154;6073;2.5;0.229;0.389;2731;706;164;0.98;7;5.1;10;4;0.725;31420.79;0.843;4;857.661;13.89;0.94;0.7;0.993;0.449;Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Valparaíso/SP;0;Araçatuba - Capital Regional C (2C);Araçatuba;Araçatuba;Araçatuba;Araçatuba
Tapiratiba;paulista;12737;57.23;12940;3257;2.3;0.251;0.337;1335;295;97;0.982;;5.4;7;2;0.751;20062.8;0.844;4;221.891;8.06;0.869;0.4;0.889;0.643;Mata Atlântica;Não pertence;Centro Local (5);0;São José do Rio Pardo - Centro Subregional B (3B);Campinas;São José do Rio Pardo - Mococa;Campinas;São João da Boa Vista
Roseira;paulista;9599;73.47;10888;2761;2.1;0.258;0.341;1442;270;91;0.987;6.4;5.7;7;1;0.737;27974.39;0.844;4;129.847;16.26;0.914;;0.783;0.112;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Guaratinguetá/SP;0;Arranjo Populacional de São José dos Campos/SP - Capital Regional B (2B);São José dos Campos;Guaratinguetá;Vale do Paraíba Paulista;Guaratinguetá
Turiúba;paulista;1930;12.6;2024;467;2.4;0.232;0.267;180;40;22;1;6.6;5.7;2;1;0.751;19494.84;0.845;1;153.235;;0.83;;1;0.238;Mata Atlântica;Não pertence;Centro Local (5);0;Buritama - Centro de Zona B (4B);Araçatuba;Birigui - Penápolis;Araçatuba;Birigui
Presidente Bernardes;paulista;13570;18.12;12943;2887;2.2;0.22;0.313;1265;393;113;0.985;6.1;5.1;9;4;0.757;23985.33;0.846;8;749.233;18.18;0.751;13.2;0.954;0.215;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Presidente Prudente/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Lucélia;paulista;19882;63.17;22022;9500;1.6;0.437;0.35;1846;420;123;0.994;7.3;5.4;7;2;0.752;18498.7;0.846;5;314.81;5.21;0.953;1.1;0.984;0.306;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Adamantina - Lucélia/SP;0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Adamantina - Lucélia;Presidente Prudente;Adamantina
Nova Canaã Paulista;paulista;2114;16.99;1824;232;2.4;0.123;0.321;186;44;23;0.988;6.9;6.4;2;1;0.715;20421.7;0.846;2;124.473;;0.428;;0.978;0.01;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Santa Fé do Sul/SP - Centro de Zona A (4A);São José do Rio Preto;Santa Fé do Sul;São José do Rio Preto;Jales
Guaraci;paulista;9976;15.55;11382;2438;2.7;0.218;0.307;1249;338;70;0.97;6.4;4.7;3;1;0.737;28872.49;0.847;3;641.501;;0.937;0.4;0.996;0.165;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);Ribeirão Preto;Barretos;São José do Rio Preto;São José do Rio Preto
Nova Castilho;paulista;1125;6.14;1290;305;3.4;0.241;0.311;143;34;21;1;6.8;;2;1;0.756;36346.56;0.847;1;183.396;;0.675;0.8;0.992;0.176;Mata Atlântica;Não pertence;Centro Local (5);0;Araçatuba - Capital Regional C (2C);Araçatuba;Araçatuba;São José do Rio Preto;Auriflama
Cananéia;paulista;12226;9.86;12542;1632;2.3;0.13;0.387;1818;414;132;0.973;6.1;4.7;15;4;0.72;24497.84;0.848;4;1237.354;28.9;0.76;;0.434;0.049;Mata Atlântica;Pertence;Centro Local (5);3048;Registro - Centro Subregional B (3B);Sorocaba;Registro;Litoral Sul Paulista;Registro
Paulo de Faria;paulista;8589;11.63;8973;1339;2.3;0.15;0.331;807;223;37;0.985;6.7;4.8;3;1;0.725;24567.9;0.848;3;737.986;10.75;0.908;0.8;1;0.278;Cerrado.Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Paulo de Faria - Orindiúva/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
Clementina;paulista;7065;41.85;8894;2110;1.1;0.245;0.268;951;220;57;0.98;6.3;5.4;2;1;0.725;18367.51;0.848;2;168.59;11.76;0.96;0.2;0.983;0.202;Mata Atlântica;Não pertence;Centro Local (5);0;Araçatuba - Capital Regional C (2C);Araçatuba;Birigui - Penápolis;Araçatuba;Birigui
Álvares Machado;paulista;23513;67.69;25078;4039;2.4;0.162;0.321;3234;923;181;0.983;5.9;5;10;5;0.758;20521.18;0.85;8;347.647;9.4;0.892;0.2;0.961;0.112;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Presidente Prudente/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Anhembi;paulista;5653;7.67;6911;967;2.1;0.144;0.34;859;207;46;0.972;6.1;4.4;3;1;0.721;22001.85;0.851;2;736.557;;0.904;0.5;0.895;0.086;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Botucatu - Centro Subregional A (3A);Bauru;Botucatu;Bauru;Botucatu
Patrocínio Paulista;paulista;13000;21.56;14941;4098;2.9;0.279;0.307;1807;422;109;0.978;6.4;5.2;4;1;0.73;47893.48;0.851;8;602.848;11.24;0.881;0.7;0.947;0.646;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Franca/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Ribeirão Preto;Franca;Ribeirão Preto;Franca
Pradópolis;paulista;17377;103.82;22239;7575;2.3;0.352;0.331;2276;588;142;0.963;6;5.4;8;1;0.733;29431.31;0.851;5;167.378;25.64;0.952;0.2;0.959;0.694;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
