municipio;gentilico;populacao_ultimo_senso;densidade_demografica;populacao_estimada;pessoal_ocupado;salario_medio_mensal_trabalhadores_formais;populacao_ocupada;perc_pop_rend_per_capta_meio_sm;matriculas_ensino_fundamental;matriculas_ensino_medio;docentes_ensino_fundamental;tx_escolarizacao_16_14;IDEB_anos_iniciais_ef;IDEB_anos_finais_ef;escolas_ensino_fundamental;escolas_ensino_medio;idhm;pib_per_capta;perc_receitas_fontes_externas;qt_estabelecimentos_saude_sus;area_unidade_territorial;mortalidade_infantil;esgotamento_sanitario_adequado;internacoes_por_diarreia;arborizavao_vias_publixas;urbanizacao_vias_publicas;bioma;sistema_costeiro_marinho;hierarquia_urbana;populacao_exposta_risco;regiao_influencia;regiao_intermediaria;regiao_imediata;mesorregiao;microrregiao
Espírito Santo do Pinhal;paulista;41907;107.61;44607;12407;2.2;0.28;0.276;4231;1543;295;0.979;6.6;5.3;18;7;0.787;34559.78;0.749;12;389.235;6.91;0.928;;0.576;0.168;Mata Atlântica;Não pertence;Centro de Zona A (4A);3644;Arranjo Populacional de São João da Boa Vista/SP - Centro Subregional A (3A);Campinas;São João da Boa Vista;Campinas;São João da Boa Vista
Dracena;paulista;43258;88.64;47287;13950;2.1;0.298;0.277;4659;1621;362;0.982;6.6;5.4;17;8;0.776;27573.28;0.749;15;487.688;6.37;0.941;1.8;0.959;0.453;Mata Atlântica;Não pertence;Centro Subregional B (3B);0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Dracena;Presidente Prudente;Dracena
Pindamonhangaba;paulista;146995;201.39;171885;36019;3.3;0.214;0.359;20009;5625;1209;0.982;6.8;5.5;85;33;0.773;50325.32;0.749;35;731.355;10.71;0.958;0.2;0.853;0.38;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José dos Campos/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José dos Campos;Taubaté - Pindamonhangaba;Vale do Paraíba Paulista;São José dos Campos
São Lourenço da Serra;paulista;13973;74.99;16127;8355;1.5;0.528;0.361;1851;529;132;0.972;6.4;5.2;12;3;0.728;16158.58;0.75;5;186.456;5.13;0.757;0.1;0.174;0.41;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;3234;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Itapecerica da Serra
Macaubal;paulista;7663;30.88;8174;2108;2.6;0.26;0.281;625;219;41;0.979;6.1;5.2;2;1;0.743;20981.79;0.751;4;248.087;15.15;0.905;1.6;0.991;0.018;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;Nhandeara
Iperó;paulista;28300;166.2;38771;6115;2.4;0.165;0.397;4137;969;238;0.989;5.8;4.9;12;3;0.719;18424.29;0.752;7;170.289;11.4;0.796;;0.86;0.035;Mata Atlântica;Não pertence;Centro de Zona A (4A) - Município integrante do Arranjo Populacional de Boituva - Iperó/SP;0;Arranjo Populacional de Sorocaba/SP - Capital Regional B (2B);Sorocaba;Sorocaba;Macro Metropolitana Paulista;Sorocaba
Lorena;paulista;82537;199.29;89532;19175;2.5;0.216;0.359;10348;2909;656;0.972;5.9;4.6;45;15;0.766;32004.82;0.753;24;414.16;11.54;0.971;0.6;0.793;0.393;Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Lorena/SP;0;Arranjo Populacional de Guaratinguetá/SP - Capital Regional C (2C);São José dos Campos;Guaratinguetá;Vale do Paraíba Paulista;Guaratinguetá
Itapevi;paulista;200769;2428.88;244131;37458;3.9;0.158;0.366;35039;8708;1545;0.965;6;4.9;68;26;0.735;50673.18;0.753;16;82.658;9.53;0.83;0.4;0.373;0.333;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Osasco
Uchoa;paulista;9471;37.51;10191;1710;2.2;0.169;0.296;1100;277;62;0.982;6.5;5.7;2;1;0.721;23905.87;0.753;4;252.434;9.43;0.988;0.2;0.99;0.153;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José do Rio Preto/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
Cosmópolis;paulista;58827;380.37;74662;11874;2.5;0.164;0.338;7383;1710;409;0.98;6.6;5.7;19;8;0.769;23981.18;0.753;16;154.665;1.56;0.946;0.4;0.958;0.316;Mata Atlântica;Não pertence;Metrópole (1C) - Município integrante do Arranjo Populacional de Campinas/SP;0;Arranjo Populacional de Campinas/SP - Metrópole (1C);Campinas;Campinas;Campinas;Campinas
