NO_MUNICIPIO,IN_SALA_DIRETORIA_1,IN_INTERNET_1,IN_REDES_SOCIAIS_1,IN_EJA_1,IN_SECRETARIA_1,IN_EQUIP_LOUSA_DIGITAL_1,IN_SALA_PROFESSOR_1,IN_AREA_VERDE_1,IN_REFEITORIO_1,IN_ORGAO_ASS_PAIS_1,IN_BIBLIOTECA_1,IN_QUADRA_ESPORTES_1,ANO_LETIVO_1,Alunos_Turma_1,COMUNIDADE_1,ACESSIBILIDADE_1,Material_Ped_1,Equipamento_Inform_1,Lab_Inform_1,Atividades_complementares_1,Espacos_1,IN_BANHEIRO_CHUVEIRO_1,Equip_1,QT_SALAS_UTILIZADAS_1,QT_EQUIP_LOUSA_DIGITAL_1,QT_PROF_ADMINISTRATIVOS_1,QT_PROF_SERVICOS_GERAIS_1,QT_PROF_BIBLIOTECARIO_1,QT_PROF_COORDENADOR_1,QT_PROF_NUTRICIONISTA_1,QT_PROF_ALIMENTACAO_1,QT_PROF_MONITORES_1,QT_MAT_BAS_1,QT_MAT_EJA_1,QT_MAT_BAS_0_3_1,QT_MAT_BAS_4_5_1,QT_MAT_BAS_6_10_1,QT_MAT_BAS_11_14_1,QT_MAT_BAS_15_17_1,QT_DOC_BAS_1,nEscolas,QT_EQ_MULTIMIDIA,QT_EQUIP_INFORMATICA,QT_PROF_SUPORTE,densidade_demografica,populacao_estimada,salario_medio_mensal_trabalhadores_formais,perc_pop_rend_per_capta_meio_sm,tx_escolarizacao_16_14,IDEB_anos_iniciais_ef,IDEB_anos_finais_ef,idhm,pib_per_capta,esgotamento_sanitario_adequado,sus_hab,perc_populacao_exposta_risco,escolas_hab,homicidios_hab,furtos_hab,NU_TAXA_REPROVACAO_1,NU_TAXA_ABANDONO_1
Cajuru,0.916666666666667,0.75,0.0,0.0833333333333333,0.833333333333333,0.166666666666667,0.583333333333333,0.0,0.833333333333333,0.04335435301684356,0.25,0.4166666666666671,0.550495767891862,0.6154214181039979,0.0,0.0,0.4791666666666662,0.666666666666667,0.4166666666666671,0.25,0.5185185185185178,0.0,0.5075757575757579,0.3183023872679045,0.01551418439716312,0.05434782608695651,0.2361111111111111,0.06666666666666667,0.19444444444444442,0.041666666666666664,0.20833333333333334,0.0,0.25413488643638293,0.025340950976778475,0.14837795981578839,0.18896861461668862,0.31536487145627373,0.15474872362674544,0.007268951194184839,0.5405982905982905,0.007260726072607261,0.14581972863154838,0.11964980544747081,0.10714285714285714,0.0025276743640521297,0.0020549033781543384,0.28125,0.33928571428571436,0.802721088435374,0.41176470588235276,0.40740740740740755,0.3318385650224214,0.03295676038172763,0.8433566433566433,0.30481377108769214,0.0,0.11911349556452494,0.09194754443317177,0.15794601441513778,0.04877805982778358,0.2838073104168544
Campinas,0.7419354838709681,0.9861751152073728,0.28110599078341,0.15668202764977,0.7511520737327191,0.0368663594470046,0.465437788018433,0.4792626728110601,0.972350230414747,0.025089605734767005,0.18433179723502305,0.24423963133640605,0.48266880384692734,0.49993663974121527,0.211981566820276,0.7096774193548392,0.8317972350230413,0.56221198156682,0.248847926267281,0.5299539170506911,0.67537122375832,0.43778801843318,0.49048084531955594,0.25482604421144456,0.0034317089910775576,0.1466639951913444,0.3466461853558628,0.06451612903225806,0.016129032258064516,0.26036866359447003,0.3830645161290323,0.008350788995950285,0.2426729382171874,0.06197226710797976,0.24884271041236014,0.18550597088806664,0.2608429614805418,0.13064758900584833,0.03133085222336441,0.32577100319035807,0.14257425742574256,0.44868557264634895,0.07197547024332514,0.24753127057274524,0.010480057670465988,0.0985939752630649,0.3079068241469816,0.2270408163265306,0.7278911564625848,0.4705882352941175,0.5185185185185186,0.4989320109422037,0.04665146337759716,0.8521105635311764,0.038593214762172465,0.07295175713938033,0.14628423320213874,0.13602924044972484,0.21043864634423268,0.47346559126357013,0.08449427767549741
Campo Limpo Paulista,0.8857142857142858,0.6857142857142859,0.4571428571428571,0.0285714285714286,0.8285714285714291,0.0,0.8,0.0285714285714286,0.857142857142857,0.08888888888888889,0.28571428571428603,0.42857142857142894,0.5583160800552077,0.537917260245571,0.17142857142857096,0.7142857142857142,0.55,0.0571428571428571,0.0285714285714286,0.14285714285714302,0.5555555555555556,0.11428571428571402,0.5347763347763356,0.30125047366426677,0.0,0.19751552795031052,0.2698412698412698,0.11428571428571428,0.14583333333333331,0.0,0.28214285714285714,0.003982683982683982,0.3820201504790317,0.13264177768416618,0.21544722547290102,0.2634377606759411,0.36717329567181456,0.33959349379168535,0.01573658080215371,0.23443223443223443,0.022442244224422443,0.3275841159276074,0.0013340744858254584,0.26530612244897955,0.006116970592206727,0.006878855817923507,0.3079068241469816,0.28061224489795905,0.7755102040816325,0.41176470588235276,0.4814814814814814,0.4989320109422037,0.04665146337759716,0.8521105635311764,0.052701452281803444,0.0,0.10392565549759633,0.04247919728725682,0.1000681352835822,0.4906490421851603,0.14836057780962408
Campos do Jordão,0.631578947368421,0.736842105263158,0.18421052631578896,0.0526315789473684,0.763157894736842,0.0263157894736842,0.526315789473684,0.473684210526316,0.9736842105263158,0.10526315789473689,0.0789473684210526,0.34210526315789497,0.550495767891862,0.587152280064625,0.315789473684211,0.315789473684211,0.5986842105263163,0.421052631578947,0.3947368421052629,0.5,0.5672514619883045,0.131578947368421,0.45746943115364225,0.27432639955325977,0.0024496080627099664,0.31922196796338664,0.1783625730994152,0.010526315789473684,0.011513157894736841,0.013157894736842105,0.33223684210526316,0.05502392344497608,0.24570130226072776,0.06135177604904261,0.24479250455273785,0.11412100603741408,0.19608874429193726,0.34348442614193725,0.07378258730939498,0.3785425101214575,0.02442244224422442,0.3920445432257177,0.06358795822240428,0.14285714285714285,0.012848213473589472,0.004160552083341737,0.21874999999999997,0.23724489795918366,0.802721088435374,0.5588235294117645,0.7037037037037038,0.49327354260089734,0.03885035110748182,0.781818181818182,0.20219592503275854,0.6935896923719213,0.20854818494135474,0.04642118642460115,0.11288282991766846,0.5483646212574702,0.11551673008313616
Campos Novos Paulista,0.666666666666667,0.666666666666667,0.33333333333333304,0.0,0.666666666666667,0.0,0.33333333333333304,0.0,0.666666666666667,0.0,0.0,0.0,0.5877616747181935,0.4974225257693049,0.0,0.0,0.75,0.666666666666667,0.666666666666667,1.0,0.5555555555555556,0.0,0.562289562289563,0.17241379310344826,0.0,0.11426958318602215,0.18518518518518517,0.13333333333333333,0.0,0.0,0.0,0.025221342574445915,0.1983482888892715,0.0,0.2554101968455802,0.18013043887737804,0.24497662300581752,0.026757704373500647,0.0,0.264957264957265,0.0013201320132013201,0.2119068350021767,0.0933852140077821,0.09523809523809523,0.0004508005100029841,0.00031350769610567937,0.25,0.3061224489795919,0.857142857142857,0.6176470588235292,0.14814814814814828,0.4989320109422037,0.05283884894771817,0.8521105635311764,0.10266742188004742,0.0,0.16739613536936948,0.0,0.12955509737426432,0.06629834254143646,0.11551673008313616
Cananéia,0.4615384615384621,0.6923076923076921,0.384615384615385,0.0,0.4615384615384621,0.0,0.538461538461538,0.153846153846154,0.307692307692308,0.10256410256410256,0.23076923076923106,0.153846153846154,0.5525826830174688,0.37613464693673493,0.384615384615385,0.384615384615385,0.509615384615385,0.384615384615385,0.153846153846154,0.384615384615385,0.26495726495726446,0.0769230769230769,0.5353535353535355,0.054070597837176035,0.0,0.06020066889632107,0.11538461538461536,0.03076923076923077,0.08974358974358974,0.038461538461538464,0.125,0.0,0.09291070648762782,0.0,0.09505581837162715,0.08637455264644942,0.1682251329455013,0.01811290757590813,0.000958543014617781,0.4694280078895464,0.007920792079207921,0.2664888985633434,0.026040107752170007,0.12087912087912088,0.0004890986064280163,0.0009197086298519672,0.3124999999999999,0.4438775510204082,0.8163265306122448,0.352941176470588,0.3333333333333334,0.3632286995515694,0.0369064659635368,0.6643356643356643,0.18646006793435468,0.8628109389142733,0.1355257292519201,0.195104449051188,0.1650339073064431,0.4744851833249624,0.057186702830861885
Cândido Mota,0.833333333333333,1.0,0.833333333333333,0.166666666666667,1.0,0.0,0.833333333333333,0.0,0.833333333333333,0.018518518518518556,0.0,0.666666666666667,0.4975845410628019,0.49993663974121527,0.2319471741846578,0.5,0.75,1.0,0.833333333333333,0.833333333333333,0.7037037037037044,0.0,0.5332676249587022,0.25482604421144456,0.0,0.15217391304347824,0.1737309182743662,0.2,0.024305555555555552,0.0,0.041666666666666664,0.06969696969696969,0.2426729382171874,0.06197226710797976,0.24884271041236014,0.18550597088806664,0.2608429614805418,0.13064758900584833,0.03133085222336441,0.2521367521367522,0.0033003300330033004,0.3927768103323175,0.20428015564202334,0.35714285714285715,0.010480057670465988,0.002441907088452574,0.4375,0.3137755102040817,0.8775510204081631,0.6176470588235292,0.4814814814814814,0.484304932735426,0.07535315170452374,0.9188811188811188,0.23051640186579167,0.0,0.14628423320213874,0.07790512575612862,0.197656175566296,0.1396841341592724,0.10299192512273647
Capão Bonito,0.7096774193548392,0.935483870967742,0.129032258064516,0.032258064516129,0.7419354838709681,0.061919793340645346,0.7741935483870971,0.29032258064516103,0.935483870967742,0.0,0.032258064516129,0.4516129032258061,0.5583606046439131,0.6037545429159563,0.193548387096774,0.6129032258064521,0.5645161290322575,0.516129032258065,0.22580645161290305,0.4516129032258061,0.6057347670250889,0.387096774193548,0.5509938090583252,0.19637203730640884,0.008511675823704982,0.07573632538569425,0.1057347670250896,0.012903225806451613,0.01411290322580645,0.04838709677419355,0.20161290322580644,0.025221342574445915,0.25967142865004966,0.04250740163846711,0.17970490911027062,0.14407176796553625,0.23822659508697444,0.3447428105411664,0.04059893478042408,0.3937138130686519,0.019801980198019802,0.27249603269341494,0.05610643906112716,0.34101382488479265,0.0019484156556235168,0.0037075552450418427,0.21874999999999997,0.43367346938775514,0.91156462585034,0.5294117647058822,0.5925925925925928,0.36771300448430483,0.0262757918731634,0.8125874125874124,0.2750748518496987,0.0,0.18778343565564268,0.10391099409741393,0.1459637357493111,0.14812019943403867,0.011989469249509159
Capivari,0.8214285714285708,1.0,0.32142857142857106,0.0357142857142857,0.6785714285714289,0.107142857142857,0.6785714285714289,0.0,0.535714285714286,0.03968253968253968,0.14285714285714302,0.464285714285714,0.5541752933057295,0.48991554601180803,0.214285714285714,0.3571428571428571,0.6383928571428575,0.464285714285714,0.5,0.535714285714286,0.5317460317460312,0.25,0.5826118326118328,0.22925350511557405,0.00997340425531915,0.19099378881987575,0.17857142857142858,0.08571428571428572,0.07237759719566453,0.0,0.32589285714285715,0.0,0.28155340565634623,0.13104891790848294,0.20065324087820724,0.16383693122191423,0.28689970581187263,0.24980228297260962,0.01573658080215371,0.24084249084249082,0.01782178217821782,0.363956869208284,0.11131183991106171,0.15816326530612246,0.011706451473918198,0.004504232676602209,0.34374999999999994,0.20408163265306117,0.8163265306122448,0.4411764705882352,0.6296296296296297,0.4977578475336323,0.0703887097233829,0.8489510489510488,0.15986970121400906,0.0,0.13254751998937186,0.0,0.07125763846187744,0.26410472743107516,0.2521406054670482
Caraguatatuba,0.9807692307692312,0.923076923076923,0.8653846153846151,0.0384615384615385,1.0,0.11626596370403613,0.923076923076923,0.25,1.0,0.01068376068376069,0.0384615384615385,0.5192307692307689,0.48810850984764254,0.49993663974121527,0.711538461538462,0.4615384615384621,0.7043269230769237,0.7307692307692311,0.538461538461538,0.6923076923076921,0.7564102564102556,0.384615384615385,0.5151515151515156,0.25482604421144456,0.01996749109464454,0.2909698996655518,0.1848290598290598,0.015384615384615385,0.12620192307692307,0.10576923076923077,0.3870192307692308,0.1501165501165501,0.2426729382171874,0.06197226710797976,0.24884271041236014,0.18550597088806664,0.2608429614805418,0.13064758900584833,0.03133085222336441,0.39299802761341224,0.033663366336633666,0.3740476708750543,0.09765040407063752,0.1813186813186813,0.010480057670465988,0.010008043416701425,0.4375,0.30867346938775514,0.8435374149659863,0.5294117647058822,0.6666666666666665,0.5381165919282511,0.057659944734146755,0.8321678321678321,0.0920774043739378,0.08524578944387397,0.14628423320213874,0.2443208140965223,0.22659326384382644,0.07094783669369283,0.00905730440788812
Carapicuíba,0.8222222222222221,0.4,0.0888888888888889,0.0444444444444444,0.444444444444444,0.0222222222222222,0.444444444444444,0.0,0.6888888888888891,0.04335435301684356,0.0444444444444444,0.0888888888888889,0.5692968330649467,0.49993663974121527,0.244444444444444,0.0222222222222222,0.694444444444445,0.0888888888888889,0.0666666666666667,0.0666666666666667,0.4419753086419756,0.2,0.28799102132435545,0.25482604421144456,0.00206855791962175,0.12753623188405794,0.16666666666666666,0.0,0.09074074074074073,0.044444444444444446,0.29166666666666663,0.03097643097643097,0.2426729382171874,0.06197226710797976,0.24884271041236014,0.18550597088806664,0.2608429614805418,0.13064758900584833,0.03133085222336441,0.36809116809116804,0.029042904290429043,0.105239926474145,0.008041504539559013,0.08253968253968254,0.010480057670465988,0.03261198057639915,0.3124999999999999,0.34948979591836726,0.7414965986394556,0.41176470588235276,0.4444444444444445,0.49327354260089734,0.015087700137517835,0.818181818181818,0.0,0.0587056274298598,0.14628423320213874,0.0875275979031761,0.08269871584861634,0.38917969232109556,0.24559235309585564
Casa Branca,0.5714285714285711,0.857142857142857,0.0714285714285714,0.14285714285714302,0.5714285714285711,0.0714285714285714,0.5,0.0,0.3571428571428571,0.07142857142857144,0.0714285714285714,0.5,0.6466528640441641,0.3286692232831814,0.0714285714285714,0.42857142857142894,0.5267857142857137,0.28571428571428603,0.28571428571428603,0.42857142857142894,0.46031746031745996,0.14285714285714302,0.39033189033189103,0.3277756726032588,0.006648936170212766,0.12111801242236023,0.16269841269841268,0.0,0.031249999999999997,0.39285714285714285,0.30357142857142855,0.0,0.18088318388212116,0.05212995629508716,0.25685116937103736,0.13587943653633988,0.2285719384295351,0.02713995729312208,0.0008900756564307966,0.30402930402930406,0.008580858085808581,0.2655715529572734,0.03501945525291829,0.19387755102040818,0.0023162369567055977,0.0023809965607737814,0.28125,0.36224489795918363,0.7891156462585033,0.352941176470588,0.3333333333333334,0.40807174887892367,0.04989958367548904,0.8797202797202797,0.07769152927383709,0.0,0.12103088141099229,0.07982384602838037,0.1336810425043963,0.18770718232044198,0.0833361780569397
Cássia dos Coqueiros,0.8342031562587171,0.5,0.25,0.0,0.7827908756951009,0.0,0.7586858769636021,0.25,0.5,0.25,0.0,0.25,0.5483091787439613,0.49993663974121527,0.5,0.0,0.5,0.5,0.5,0.25,0.6666666666666666,0.25,0.24494949494949542,0.25482604421144456,0.0,0.16304347826086954,0.1388888888888889,0.0,0.07291666666666666,0.25,0.0625,0.0,0.2426729382171874,0.06197226710797976,0.24884271041236014,0.18550597088806664,0.2608429614805418,0.13064758900584833,0.03133085222336441,0.31964951185946505,0.0019801980198019802,0.2119068350021767,0.05544747081712062,0.10714285714285714,0.010480057670465988,0.00010859015927901298,0.3079068241469816,0.2653061224489796,0.9659863945578231,0.05882352941176449,0.4444444444444445,0.42600896860986587,0.04665146337759716,0.5314685314685315,0.24439689172130022,0.0,0.14628423320213874,0.0,0.09854205910672224,0.0,0.0
Castilho,1.0,1.0,0.818181818181818,0.0909090909090909,1.0,0.0,1.0,0.272727272727273,0.363636363636364,0.0,0.0,0.272727272727273,0.5256916996047439,0.44048798309626713,0.454545454545455,0.6363636363636359,0.7727272727272725,0.0909090909090909,0.181818181818182,0.6363636363636359,0.6969696969696977,0.454545454545455,0.5344352617079888,0.2544007716421509,0.0,0.17786561264822132,0.21717171717171715,0.14545454545454548,0.18560606060606058,0.13636363636363635,0.1590909090909091,0.0,0.24552411180532013,0.06266126059712496,0.23584790316664636,0.19359813524204175,0.29902923016524513,0.07248905366639266,0.010195412064570943,0.24708624708624705,0.006600660066006601,0.22708473502988077,0.005305978068623982,0.1038961038961039,0.0010500061436529682,0.001644100190153793,0.40625,0.44642857142857145,0.9387755102040816,0.4705882352941175,0.6296296296296297,0.4125560538116591,0.05787701660242978,0.7454545454545453,0.09357822799544878,0.0,0.13906282001002546,0.0,0.14670477146481056,0.0994475138121547,0.13057281354543548
