"NO_MUNICIPIO","IN_SALA_DIRETORIA_1","IN_INTERNET_1","IN_REDES_SOCIAIS_1","IN_NOTURNO_1","IN_EJA_1","IN_SECRETARIA_1","IN_EQUIP_LOUSA_DIGITAL_1","IN_SALA_PROFESSOR_1","IN_AREA_VERDE_1","IN_REFEITORIO_1","IN_ORGAO_ASS_PAIS_1","IN_ORGAO_ASS_PAIS_MESTRES_1","IN_ORGAO_CONSELHO_ESCOLAR_1","IN_ORGAO_GREMIO_ESTUDANTIL_1","IN_BIBLIOTECA_1","IN_QUADRA_ESPORTES_1","ANO_LETIVO_1","Alunos_Turma_1","COMUNIDADE_1","ACESSIBILIDADE_1","Material_Ped_1","Equipamento_Inform_1","Lab_Inform_1","Atividades_complementares_1","Espacos_1","IN_BANHEIRO_CHUVEIRO_1","Equip_1","QT_SALAS_UTILIZADAS_1","QT_EQUIP_DVD_1","QT_EQUIP_SOM_1","QT_EQUIP_TV_1","QT_EQUIP_LOUSA_DIGITAL_1","QT_EQUIP_MULTIMIDIA_1","QT_DESKTOP_ALUNO_1","QT_COMP_PORTATIL_ALUNO_1","QT_PROF_ADMINISTRATIVOS_1","QT_PROF_SERVICOS_GERAIS_1","QT_PROF_BIBLIOTECARIO_1","QT_PROF_COORDENADOR_1","QT_PROF_NUTRICIONISTA_1","QT_PROF_ALIMENTACAO_1","QT_PROF_PEDAGOGIA_1","QT_PROF_SECRETARIO_1","QT_PROF_SEGURANCA_1","QT_PROF_MONITORES_1","QT_MAT_BAS_1","QT_MAT_EJA_1","QT_MAT_BAS_0_3_1","QT_MAT_BAS_4_5_1","QT_MAT_BAS_6_10_1","QT_MAT_BAS_11_14_1","QT_MAT_BAS_15_17_1","QT_MAT_BAS_18_MAIS_1","QT_DOC_BAS_1","QT_TUR_BAS_1","nEscolas","Homicidios","Furto"
"Mesópolis",1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,319,14.7222222222222,0,1,6,1,1,1,4,1,7,13,4,5,6,0,2,9,0,0,4,1,0,0,1,0,1,0,0,265,0,54,58,137,16,0,0,5,18,1,1,7
"Miguelópolis",0.6,1,0.5,0.1,0.1,1,0,0.8,0.3,0.3,0,0.9,0.8,0.1,0.1,0.3,315.4,19.1240705931495,0.3,0.2,3.5,0.2,0.1,0.5,3.2,0.3,6.2,89,14,15,17,0,8,0,2,22,26,2,12,0,19,1,1,13,12,2874,121,226,384,1112,978,107,67,132,125,10,5,230
"Mineiros do Tietê",1,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,1,0,1,0,0.857142857142857,0.142857142857143,1,1,0.428571428571429,0.142857142857143,0.428571428571429,321,17.1283446712018,0.857142857142857,0.285714285714286,6.57142857142857,0.857142857142857,0.428571428571429,0.857142857142857,3.28571428571429,0.285714285714286,6,71,14,27,14,0,2,44,2,4,24,2,2,0,7,4,5,1,7,1272,35,225,277,709,26,1,34,117,72,7,2,86
"Mira Estrela",1,0.666666666666667,0,0,0,0.333333333333333,0,1,0.333333333333333,1,3,3.33333333333333,3.33333333333333,3.33333333333333,0.333333333333333,0.666666666666667,318,17.3185185185185,0.333333333333333,1,6,0.666666666666667,0,0.333333333333333,3.33333333333333,0.333333333333333,6.66666666666667,16,7,7,8,0,0,11,0,1,3,0,0,1,4,1,1,0,0,316,0,79,72,155,10,0,0,69,18,3,0,32
"Miracatu",0.368421052631579,0.421052631578947,0,0.0526315789473684,0.0526315789473684,0.684210526315789,0,0.684210526315789,0,0.526315789473684,1.89473684210526,2.15789473684211,2.31578947368421,1.89473684210526,0,0.315789473684211,329.421052631579,16.3195135274083,0.0526315789473684,0.842105263157895,2.15789473684211,0.0526315789473684,0.105263157894737,0.263157894736842,1.73684210526316,0,3.73684210526316,90,28,31,44,0,2,20,0,12,26,0,57,0,24,0,8,0,0,2303,16,237,584,1382,82,0,18,349,126,19,3,274
"Mirandópolis",0.5625,0.125,0.125,0.0625,0.0625,0.375,0,0.5625,0,0.25,1.75,2.0625,1.875,1.8125,0,0.25,317.75,13.235085978836,0.0625,0.25,2.9375,0.1875,0.1875,0.375,2.1875,0.125,3.9375,99,21,35,25,0,1,45,0,11,68,0,6,0,17,6,1,0,5,1945,9,229,481,1167,57,2,9,236,113,16,3,198
"Mirante do Paranapanema",0.444444444444444,0.888888888888889,0.555555555555556,0,0,0.888888888888889,0,0.444444444444444,0,0.666666666666667,0,1,1,0,0,0.222222222222222,319,19.48556998557,0.555555555555556,0.666666666666667,3.77777777777778,0.222222222222222,0.111111111111111,0.777777777777778,2.44444444444444,0.222222222222222,4.22222222222222,57,10,16,18,0,0,16,0,9,35,5,0,0,25,3,1,1,0,1355,0,291,396,643,24,1,0,163,69,9,0,223
"Mirassol",0.823529411764706,0.235294117647059,0.176470588235294,0.0588235294117647,0.0588235294117647,0.588235294117647,0,0.764705882352941,0,0.352941176470588,1.58823529411765,2.35294117647059,1.82352941176471,1.58823529411765,0.117647058823529,0.235294117647059,309.588235294118,20.2859039272275,0.0588235294117647,0,4.94117647058824,0.470588235294118,0.529411764705882,0.588235294117647,3.64705882352941,0.235294117647059,6.23529411764706,190,67,70,104,0,5,80,0,8,66,1,4,0,34,2,5,0,0,4983,29,978,1145,2725,105,3,27,372,226,17,7,456
"Mirassolândia",0.6,1,1,0,0,0.8,0,0.6,0.2,0.6,0,1,1,0,0,0,317,18.0466666666667,0.8,1,5,0.4,0.4,0.6,3.6,0.4,6.4,24,10,19,10,0,1,20,0,1,11,1,1,1,5,5,2,0,11,532,0,143,95,280,14,0,0,62,28,5,1,36
"Mococa",0.96,0.88,0.4,0.04,0.04,0.88,0,0.72,0.12,0.64,0,0.96,0.92,0.08,0.28,0.28,324,17.0386522596114,0.36,0.04,4.44,0.28,0.24,0.36,3.28,0.08,4.36,167,18,39,28,0,7,84,2,19,90,6,19,0,66,14,10,2,0,5215,23,1204,1414,1795,494,213,95,610,268,25,1,586
"Mogi das Cruzes",0.972477064220184,0.963302752293578,0.440366972477064,0.0275229357798165,0.0275229357798165,0.798165137614679,0.0275229357798165,0.871559633027523,0.100917431192661,0.623853211009174,0.339449541284404,1.28440366972477,1.23853211009174,0.330275229357798,0.155963302752294,0.311926605504587,315.02752293578,24.3840426706436,0.256880733944954,0.311926605504587,7.32110091743119,0.990825688073395,0.440366972477064,0.568807339449541,3.53211009174312,0.293577981651376,6.8348623853211,813,340,503,468,3,107,1165,910,144,535,49,25,0,364,54,33,0,69,34870,336,1463,6618,24713,1698,76,302,1808,1341,109,21,3186
"Mogi Guaçu",0.455882352941176,0.544117647058823,0.191176470588235,0.0294117647058824,0.0147058823529412,0.514705882352941,0.0735294117647059,0.382352941176471,0.75,0.705882352941177,0.0147058823529412,0.941176470588235,0.235294117647059,0,0.0441176470588235,0.367647058823529,316.382352941176,21.0123910193592,0.0735294117647059,0.205882352941176,4.32352941176471,0.352941176470588,0.308823529411765,0.352941176470588,3.25,0.235294117647059,4.45588235294118,510,79,201,105,6,41,245,58,61,198,3,42,0,143,40,46,1,12,16161,44,1103,3143,7743,3483,608,81,1333,712,68,9,1649
"Mogi Mirim",0.611111111111111,0.777777777777778,0.527777777777778,0.0277777777777778,0.0833333333333333,0.861111111111111,0.444444444444444,0.777777777777778,0.138888888888889,0.75,1.80555555555556,2.36111111111111,2.13888888888889,1.80555555555556,0.0555555555555556,0.305555555555556,316,16.2859372680001,0.222222222222222,0.277777777777778,5.16666666666667,0.555555555555556,0.527777777777778,0.722222222222222,3.61111111111111,0.472222222222222,5.52777777777778,351,73,112,104,16,29,282,21,27,104,0,48,0,91,41,21,6,0,8918,41,1595,1709,4364,1136,74,40,594,546,36,12,864
"Mombuca",1,1,0,0,0,0.25,0,0.5,0,0.75,2.25,2.75,2.25,2.25,0,0.25,265.5,19.95,0.25,1,4.75,0.5,0.25,1,2,0.25,4.75,36,5,5,11,0,1,22,1,5,6,0,0,4,7,9,4,0,6,748,0,97,119,293,208,30,1,50,36,4,0,47
"Monções",0,1,1,0,0,0,0,0,0,1,0,1,0.5,0,0,0,342.5,17.5,0,0,5,0.5,0,0.5,2.5,0,8,12,5,3,6,0,1,19,0,2,7,0,1,2,2,0,0,0,0,176,0,69,47,60,0,0,0,35,10,2,0,16
"Mongaguá",0.894736842105263,0.631578947368421,0.0263157894736842,0.0526315789473684,0.0526315789473684,0.526315789473684,0,0.657894736842105,0.0526315789473684,0.315789473684211,1.71052631578947,2.39473684210526,2.28947368421053,1.65789473684211,0.105263157894737,0.342105263157895,329.973684210526,23.37376671825,0.184210526315789,0.157894736842105,3.31578947368421,0.157894736842105,0.210526315789474,0.5,2.47368421052632,0.131578947368421,3.65789473684211,270,28,34,43,0,13,15,19,18,56,1,22,1,41,20,16,1,3,10442,273,897,1418,4074,3456,399,198,691,419,38,3,1732
"Monte Alegre do Sul",0.5,1,0,0.166666666666667,0.166666666666667,0.666666666666667,0,0.666666666666667,0,0.333333333333333,0,0.666666666666667,0.666666666666667,0,0,0.333333333333333,317,16.6690821256039,0.166666666666667,0,4.83333333333333,0.833333333333333,0.5,0.333333333333333,2.83333333333333,0,5.5,36,11,11,15,0,4,43,1,2,16,0,4,5,10,5,3,0,2,1161,29,159,155,401,364,76,6,168,60,6,0,45
"Monte Alto",0.818181818181818,0.954545454545455,0.454545454545455,0,0,0.954545454545455,0.0454545454545455,0.681818181818182,0.318181818181818,0.5,0.0909090909090909,0.545454545454545,0.590909090909091,0.227272727272727,0,0.409090909090909,323.045454545455,17.7606126762475,0.272727272727273,0.272727272727273,3.95454545454545,0.5,0.409090909090909,0.727272727272727,3.09090909090909,0.181818181818182,5.95454545454545,199,86,61,100,1,31,134,7,11,80,0,26,0,9,14,18,0,5,4571,0,981,930,1904,732,23,1,383,234,22,1,654
"Monte Aprazível",0.923076923076923,0.615384615384615,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.692307692307692,0.0769230769230769,0.692307692307692,0,0.538461538461538,3.92307692307692,3.61538461538462,4,3.53846153846154,0.461538461538462,0.538461538461538,317.307692307692,20.7816116387383,0.153846153846154,0.153846153846154,4.92307692307692,0.307692307692308,0.230769230769231,0.153846153846154,2.23076923076923,0.0769230769230769,5.46153846153846,105,32,12,41,1,3,93,0,6,41,0,4,7,22,56,3,1,15,2583,39,377,313,1049,745,59,40,196,116,13,1,178
"Monte Azul Paulista",0.7,1,0.7,0.2,0.2,0.9,0,0.8,0.5,1,0,0.7,0.9,0,0,0.4,321.5,15.4662023809524,0.3,0.9,5.4,0.5,0.5,1,3.3,0.8,6.3,169,22,25,22,0,10,59,28,9,33,0,8,0,8,14,6,1,0,2001,49,319,330,852,433,23,44,136,109,10,1,133
"Monte Castelo",0.333333333333333,1,0.333333333333333,0,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,326.333333333333,16.5694444444445,0.333333333333333,0,6,0.333333333333333,0,0.666666666666667,3.66666666666667,0,6.33333333333333,18,11,16,13,0,1,6,0,2,17,0,0,3,3,4,0,0,0,443,0,81,114,243,5,0,0,51,26,3,0,24
"Monte Mor",0.967741935483871,0.903225806451613,0.32258064516129,0.0645161290322581,0.0645161290322581,0.806451612903226,0.612903225806452,0.838709677419355,0,0.548387096774194,0.32258064516129,1.2258064516129,1.12903225806452,0.419354838709677,0.161290322580645,0.387096774193548,323.354838709677,23.2078503398001,0.193548387096774,0.225806451612903,4.38709677419355,0.32258064516129,0.193548387096774,0.161290322580645,3,0.225806451612903,4.61290322580645,290,29,48,52,101,58,46,7,31,99,0,19,1,91,22,24,0,0,11163,261,1629,1846,4698,2471,318,201,795,449,31,6,378
"Monteiro Lobato",0.8,1,0,0,0,0.4,0.2,0.8,0,0.4,1.8,2,2,1.8,0,0.6,305,16.675,0.4,0,2.8,0.4,0.6,0.2,1.6,0.2,4.6,19,10,11,10,1,0,26,0,3,21,0,0,1,0,5,1,0,2,499,0,53,100,330,16,0,0,90,28,5,0,21
"Morro Agudo",1,1,0.5,0.111111111111111,0.0555555555555556,1,0,0.777777777777778,0.0555555555555556,0.666666666666667,0.5,1.44444444444444,1.44444444444444,0.611111111111111,0.5,0.444444444444444,308.888888888889,18.5785837734338,0.166666666666667,0.666666666666667,4.16666666666667,0.388888888888889,0.333333333333333,0.0555555555555556,3.33333333333333,0.333333333333333,5.77777777777778,179,32,18,46,0,6,172,6,22,61,1,13,0,18,11,6,1,55,4575,183,575,708,1824,910,404,154,358,220,18,4,279
"Morungaba",0.888888888888889,0.888888888888889,0.222222222222222,0.111111111111111,0.111111111111111,0.888888888888889,0,0.888888888888889,0,0.333333333333333,0.111111111111111,0.777777777777778,0.444444444444444,0,0.222222222222222,0.333333333333333,332.111111111111,18.2830687830688,0.111111111111111,0.111111111111111,2.88888888888889,0.222222222222222,0.444444444444444,0.222222222222222,2.66666666666667,0.222222222222222,5.88888888888889,57,14,7,15,0,4,21,0,2,11,0,5,10,14,5,8,0,10,1661,55,151,284,757,370,55,44,158,89,9,0,91
"Motuca",1,0.666666666666667,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0.666666666666667,0.666666666666667,0.666666666666667,0,0.666666666666667,317.333333333333,18.9793650793651,0,0.333333333333333,4.33333333333333,0.333333333333333,0,0.333333333333333,3,0,3.66666666666667,26,6,2,7,14,11,5,0,0,13,2,2,2,9,2,2,3,7,708,0,87,116,252,210,42,1,44,35,3,0,13
"Murutinga do Sul",1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,317,17.8571428571429,0,1,5,1,1,1,3,0,7,22,6,1,6,0,1,25,2,5,8,2,2,1,5,4,1,0,2,375,0,80,89,196,10,0,0,32,21,1,0,25
"Nantes",1,1,1,0,0,1,0,1,0,1,0.5,1,1,0,0,0,322,18.2,0,0.5,4,0.5,0,0,2.5,0.5,3.5,11,1,8,5,0,0,0,1,4,6,0,2,0,0,2,2,2,0,348,0,75,70,203,0,0,0,10,19,2,0,10
"Narandiba",0.8,1,1,0,0,1,0.6,0.8,0.4,1,0,0.6,0.8,0,0,0.2,323.2,19.8620588235294,1,0.6,5,0.4,0.4,0.4,3.2,0,5.4,35,10,7,15,4,1,72,2,9,28,2,9,0,10,5,3,0,0,1038,0,184,178,403,256,17,0,108,49,5,1,51
"Natividade da Serra",0.2,0.8,0,0,0,0.6,0,0.2,0,0.2,1.8,2.6,2.2,2,0,0.2,326,14.3298245614035,0,0.2,3.6,0.8,0,0,2.4,0,4.4,33,5,9,7,0,0,13,9,1,10,0,3,3,14,2,1,0,0,728,0,11,168,441,107,1,0,81,47,5,2,55
"Nazaré Paulista",0.375,0.4375,0.25,0,0,0.1875,0,0.1875,0.0625,0.75,0,1,0.1875,0,0,0.125,319.125,14.7174479166667,0,0.25,5.9375,0.0625,0.125,0.0625,1.9375,0,3.75,69,17,17,21,0,3,11,0,16,23,0,4,16,25,18,15,0,23,1676,0,360,421,840,55,0,0,181,91,16,4,136
"Neves Paulista",0.75,1,0.75,0,0,1,0,1,0,0.5,2.25,2.5,2.5,2.25,0.5,0.25,317.75,18.0930555555556,0.25,0,5.5,0.5,0.5,0.5,3.75,0.25,6,34,4,14,4,0,2,30,0,0,11,0,1,1,4,3,4,0,1,764,0,168,160,404,32,0,0,98,41,4,0,64
"Nhandeara",0.714285714285714,1,0.714285714285714,0.142857142857143,0.142857142857143,0.857142857142857,0.285714285714286,0.714285714285714,0,0.714285714285714,1.28571428571429,1.71428571428571,1.57142857142857,1.28571428571429,0,0.571428571428571,297.428571428571,17.2961038961039,0,0.142857142857143,4.28571428571429,0.714285714285714,0.428571428571429,0.714285714285714,2.85714285714286,0.142857142857143,6,49,9,12,14,2,3,69,3,2,24,0,3,0,4,4,4,0,4,793,39,159,169,409,12,1,43,100,44,7,0,78
"Nipoã",0.666666666666667,1,1,0,0,0.666666666666667,0,0.333333333333333,0,0.666666666666667,0,1,0.666666666666667,0.333333333333333,0,0.333333333333333,285,20.7,0.666666666666667,0,5,0,0,0.666666666666667,2,0,5.33333333333333,17,7,7,9,0,1,0,0,3,6,1,1,3,9,0,1,0,8,545,0,73,133,325,14,0,0,48,25,3,0,37
"Nova Aliança",1,1,0.2,0,0,0.6,0.4,0.8,0,0.8,0,0.8,1,0.4,0,0.4,328,17.7622222222222,0.2,0,6,1,0.8,0.4,2.2,0.2,6.2,45,4,4,10,14,3,23,15,4,6,0,5,5,5,0,3,0,7,834,0,220,151,374,86,3,0,104,45,5,0,49
"Nova Campina",0.5,0.6,0.1,0,0,0.9,0.1,0.8,0,0.9,0,1,1,0,0.5,0.5,320,19.1580128205128,0.3,0.3,2,1,0.7,0.4,2.8,0.2,5.6,82,11,14,18,1,0,112,16,4,25,0,11,8,9,7,0,4,0,1668,0,167,265,622,584,30,0,160,86,10,1,63
"Nova Canaã Paulista",0,1,0.5,0,0,0,0,1,0.5,1,0,1,1,0.5,0,0.5,321,16.2857142857143,0.5,0,8,1,0.5,0.5,3.5,1,6,13,6,8,8,0,0,23,0,1,6,0,2,2,5,0,1,0,6,192,0,47,38,103,4,0,0,16,11,2,0,10
"Nova Castilho",1,1,0,0,0,1,0,0.5,0,0.5,1,1,1,0.5,0,0.5,318,14.2,1,0,5,1,0.5,1,2.5,1,7,15,5,15,4,0,2,1,1,0,13,1,2,2,4,0,1,0,0,142,0,29,39,74,0,0,0,45,10,2,0,10
"Nova Europa",1,1,1,0.142857142857143,0.142857142857143,0.857142857142857,0.142857142857143,1,0.285714285714286,1,0,0.428571428571429,0.428571428571429,0.428571428571429,0,0.714285714285714,315,15.9350950636665,0,1,4,0.571428571428571,0.428571428571429,0.714285714285714,3.57142857142857,0.142857142857143,6.42857142857143,75,17,11,21,1,4,76,0,3,31,5,5,1,15,5,3,0,0,1591,41,213,234,639,445,21,39,135,95,7,0,54
"Nova Granada",1,1,0.8,0.2,0.2,0.8,0,0.8,0,0.8,1.8,2.6,2.4,1.8,0.4,0.4,319.8,19.5281449553001,0.6,0.2,5.4,0.2,0.4,0.4,3.2,0.2,6,68,8,16,12,0,3,2,0,3,30,2,7,0,10,3,3,1,21,1946,27,392,449,1044,34,0,27,91,100,5,1,144
"Nova Guataporanga",0,1,0,0,0.5,1,0,0.5,0,0.5,0,0.5,1,0,0,0,319.5,14.3557692307693,0,0,4.5,0.5,0,1,1.5,0,5.5,12,2,3,6,0,2,1,0,3,6,1,0,0,0,1,0,0,0,254,3,54,55,137,5,3,0,22,17,2,1,13
"Nova Independência",1,1,1,0.25,0.25,1,0,1,0,1,0,0.25,0.5,0.25,0,0.5,330,17.7883012820513,0,0.25,4.25,0.5,0.5,1,2.25,0.25,5.75,45,9,9,12,0,1,37,0,5,12,3,2,0,0,4,4,0,8,814,16,135,114,296,242,15,12,60,44,4,0,48
"Nova Luzitânia",1,1,0.5,0,0,1,0,1,0,1,0,1,1,0,0,0.5,318.5,15.95,0.5,0,3.5,1,1,0.5,2.5,0.5,7,23,6,9,11,0,0,50,0,2,12,1,0,2,6,2,2,0,2,319,0,64,68,176,11,0,0,41,20,2,0,8
"Nova Odessa",0.916666666666667,0.833333333333333,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.958333333333333,0,0.833333333333333,0.291666666666667,0.583333333333333,0.0416666666666667,1,1,0,0.208333333333333,0.375,316,18.3369632410074,0.166666666666667,0.208333333333333,6,0.458333333333333,0.416666666666667,0.458333333333333,3.33333333333333,0.416666666666667,6.29166666666667,187,64,90,82,0,22,140,36,25,83,3,19,14,70,15,11,0,3,5552,28,1257,1237,2931,99,0,28,558,292,24,3,523
"Novais",0.5,1,0,0.5,0.5,1,0,0.5,0,0.5,0,1,0,0,0,0,319,23.1111111111111,0,0,3.5,0.5,0.5,1,2.5,0,6.5,32,4,2,4,0,1,2,2,0,0,0,0,0,0,0,0,0,0,893,28,143,144,310,254,20,22,25,39,2,0,17
"Novo Horizonte",0.590909090909091,0.272727272727273,0,0.0454545454545455,0.0454545454545455,0.318181818181818,0,0.590909090909091,0,0.454545454545455,4.09090909090909,4.63636363636364,4.13636363636364,4.09090909090909,0.0909090909090909,0.363636363636364,297.590909090909,19.0956877933596,0,0.681818181818182,4.72727272727273,0.227272727272727,0.227272727272727,0.5,2,0.272727272727273,4,169,22,34,49,0,5,165,0,0,55,1,4,0,4,0,0,0,42,5063,52,476,761,2100,1573,90,63,414,231,22,1,362
"Nuporanga",1,0.8,0,0,0,1,0,1,0.8,0.8,1.8,2.6,2.2,1.8,0.4,0.6,319,20.905,0,0.8,4.2,0.6,0.4,0,2.6,0.6,7,41,13,3,15,0,4,34,1,4,15,2,6,5,10,7,3,1,1,1098,0,172,171,402,314,38,1,67,52,5,0,112
"Ocauçu",1,1,0,0,0,1,0,1,0.5,0,0,1,1,0.5,0,0.5,316,22.0916666666667,0.5,1,4,0.5,0.5,1,4,0.5,6,18,10,3,10,0,2,32,0,0,15,0,0,0,7,2,2,0,0,597,0,159,109,314,15,0,0,40,27,2,0,30
"Óleo",1,1,0,0,0,0.333333333333333,0,1,0,0.666666666666667,0,0,0,0,0.666666666666667,0.333333333333333,319,14.1825396825397,0,1,6.66666666666667,0.333333333333333,0.666666666666667,0.333333333333333,2,0.333333333333333,4.66666666666667,19,7,2,11,0,1,12,1,0,6,0,0,2,2,2,0,0,0,293,0,54,67,161,11,0,0,34,21,3,2,17
"Olímpia",0.961538461538462,1,0.230769230769231,0.0769230769230769,0.0769230769230769,0.653846153846154,0.346153846153846,0.923076923076923,0.538461538461538,0.846153846153846,0,0.961538461538462,1,0.384615384615385,0,0.423076923076923,321,19.0548402985903,0.0769230769230769,0.192307692307692,5.65384615384615,0.5,0.384615384615385,0.423076923076923,3.53846153846154,0.192307692307692,6.19230769230769,207,68,127,84,9,21,151,10,19,78,2,35,1,35,30,22,34,0,5757,118,1185,1198,3159,96,9,110,484,289,26,0,485
"Onda Verde",1,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,317.666666666667,13.9619047619048,0,0,4.66666666666667,0.333333333333333,0.333333333333333,0,3.33333333333333,0.333333333333333,3.33333333333333,24,5,2,1,5,0,10,0,4,3,0,2,0,2,0,1,0,0,598,7,108,146,332,5,0,7,31,41,3,0,35
"Oriente",1,1,0,1,1,1,0,1,0,1,9,9,9,9,0,0,316,17.8666666666667,0,1,4,0,0,0,3,1,6,6,6,1,6,0,1,0,0,3,2,0,1,0,2,0,1,0,0,268,6,4,133,125,0,0,6,12,15,1,0,35
"Orindiúva",1,0.25,0,0,0,0.75,0.25,1,0.25,0.5,4.5,5,4.75,4.5,0.5,0.25,324.25,24.8693977591036,0,0.25,5,0.25,0.25,0,2.5,0.5,4.75,57,6,6,23,17,0,12,0,10,3,0,1,1,0,0,0,0,0,1065,0,144,157,402,333,29,0,60,42,4,0,26
"Orlândia",1,0.869565217391304,0.304347826086957,0.0434782608695652,0.0434782608695652,0.695652173913043,0.608695652173913,0.91304347826087,0.0869565217391304,0.956521739130435,1.30434782608696,1.91304347826087,1.78260869565217,1.26086956521739,0.608695652173913,0.478260869565217,316.086956521739,19.0118057354939,0.173913043478261,0.217391304347826,4.43478260869565,0.521739130434783,0.434782608695652,0.217391304347826,3.73913043478261,0.391304347826087,5.08695652173913,221,38,41,61,80,18,108,1,26,45,7,19,0,36,9,12,1,9,5332,159,674,637,2008,1649,265,99,438,260,23,0,187
"Osasco",0.937062937062937,0.734265734265734,0.202797202797203,0.188811188811189,0.188811188811189,0.867132867132867,0,0.909090909090909,0.741258741258741,0.881118881118881,0.426573426573427,1.01398601398601,1.12587412587413,0.391608391608392,0.300699300699301,0.398601398601399,317,22.4228758264606,0.391608391608392,0.615384615384615,4.6013986013986,0.510489510489511,0.412587412587413,0.27972027972028,3.33566433566434,0.300699300699301,5.47552447552448,1914,223,509,278,0,57,1290,122,427,823,49,7,16,576,203,88,2,20,67501,668,13761,14395,36893,1779,11,662,2178,2856,143,45,6641
"Oscar Bressane",1,0,0,0,0,0.5,0,1,0,1,0,1,1,0,0.5,0.5,318.5,15.34375,0,0,3.5,0.5,0,0.5,4,0.5,6,19,4,4,6,0,2,29,0,6,20,2,2,1,6,0,0,0,0,400,0,81,38,156,118,7,0,14,25,2,0,9
"Osvaldo Cruz",0.4375,0.3125,0,0,0,0.6875,0.0625,0.4375,0.8125,0.875,6.5,6.5,6.5,6.1875,0,0.3125,342.8125,17.3669642857143,0,0.125,4.25,0.3125,0.3125,0.5625,3.5,0.625,3.625,125,33,12,38,1,5,98,0,10,57,0,0,32,23,37,0,0,0,2135,0,461,519,1136,18,1,0,219,110,16,3,176
"Ourinhos",0.688888888888889,0.488888888888889,0.0666666666666667,0.0444444444444444,0.0444444444444444,0.8,0.0666666666666667,0.644444444444444,0.0444444444444444,0.888888888888889,0.2,1.15555555555556,1.15555555555556,0.511111111111111,0.0222222222222222,0.333333333333333,318.355555555556,17.809973488328,0.155555555555556,0.222222222222222,4.35555555555556,0.333333333333333,0.4,0.488888888888889,3.48888888888889,0.155555555555556,4.93333333333333,350,52,135,100,3,13,331,11,69,135,5,20,0,77,50,29,1,6,10513,273,1490,2100,4979,1584,178,182,744,531,45,5,1418
"Ouro Verde",1,1,1,0.4,0.4,0.4,0,0.8,1,0.6,0,1,1,0.4,0,0.8,308,16.0979898989899,1,1,8,0.8,0.4,0.6,3.4,0.2,6.4,48,28,24,29,0,8,44,1,1,31,2,0,5,7,11,5,1,0,1391,38,131,236,543,404,17,60,89,82,5,1,31
"Ouroeste",1,1,0.333333333333333,0.166666666666667,0.166666666666667,1,0.5,1,0,1,0.166666666666667,0.666666666666667,0.5,0.333333333333333,0.5,0.333333333333333,313.333333333333,16.7310025542784,0.5,0.333333333333333,7.16666666666667,0.5,0.5,0.166666666666667,3.5,0.5,6.5,66,8,17,12,10,8,79,4,7,22,2,5,2,9,2,6,0,0,1245,9,275,249,636,71,5,9,139,68,6,0,47
"Pacaembu",1,1,0.2,0.2,0.2,0.8,0.2,0.4,0.6,1,0,0.8,0.2,0,0,0.4,317,14.596288998358,0.6,0.4,5.2,0.2,0.2,0.4,4,0,5.6,37,12,21,14,1,2,50,2,14,14,0,1,5,11,7,2,0,0,901,6,146,221,515,13,0,6,60,53,5,0,53
"Palestina",0.625,0.5,0.75,0.125,0.125,0.625,0,0.5,0,0.625,2.25,2.875,2.5,2.5,0.25,0.25,319.125,18.0636690177638,0,0.25,4.75,0.25,0.25,0,2.875,0.25,5.25,115,22,14,26,0,2,18,0,2,19,3,4,3,10,1,7,0,5,1746,14,298,237,673,506,18,14,84,89,8,1,52
"Palmares Paulista",1,1,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.833333333333333,1,0.5,1.5,2,2,1.5,0.166666666666667,0.333333333333333,308,20.7877976190476,0.5,1,4,0.333333333333333,0.333333333333333,0.5,3.16666666666667,0.666666666666667,5.16666666666667,48,9,11,17,6,4,13,3,0,33,2,6,0,2,10,0,2,0,1206,18,200,269,679,40,1,17,59,59,6,0,21
"Palmeira d'Oeste",0.666666666666667,1,0,0.333333333333333,0.333333333333333,1,0,1,0,0.333333333333333,6,6.33333333333333,6.33333333333333,6.33333333333333,0,0.333333333333333,264.666666666667,16.6277777777778,0,0,2,0.666666666666667,0.666666666666667,0.666666666666667,2.66666666666667,0,6,32,4,4,4,0,3,18,0,1,4,1,1,1,2,1,1,0,2,651,49,99,130,364,9,1,48,24,36,3,0,27
