"NO_MUNICIPIO","IN_SALA_DIRETORIA_1","IN_INTERNET_1","IN_REDES_SOCIAIS_1","IN_NOTURNO_1","IN_EJA_1","IN_SECRETARIA_1","IN_EQUIP_LOUSA_DIGITAL_1","IN_SALA_PROFESSOR_1","IN_AREA_VERDE_1","IN_REFEITORIO_1","IN_ORGAO_ASS_PAIS_1","IN_ORGAO_ASS_PAIS_MESTRES_1","IN_ORGAO_CONSELHO_ESCOLAR_1","IN_ORGAO_GREMIO_ESTUDANTIL_1","IN_BIBLIOTECA_1","IN_QUADRA_ESPORTES_1","ANO_LETIVO_1","Alunos_Turma_1","COMUNIDADE_1","ACESSIBILIDADE_1","Material_Ped_1","Equipamento_Inform_1","Lab_Inform_1","Atividades_complementares_1","Espacos_1","IN_BANHEIRO_CHUVEIRO_1","Equip_1","QT_SALAS_UTILIZADAS_1","QT_EQUIP_DVD_1","QT_EQUIP_SOM_1","QT_EQUIP_TV_1","QT_EQUIP_LOUSA_DIGITAL_1","QT_EQUIP_MULTIMIDIA_1","QT_DESKTOP_ALUNO_1","QT_COMP_PORTATIL_ALUNO_1","QT_PROF_ADMINISTRATIVOS_1","QT_PROF_SERVICOS_GERAIS_1","QT_PROF_BIBLIOTECARIO_1","QT_PROF_COORDENADOR_1","QT_PROF_NUTRICIONISTA_1","QT_PROF_ALIMENTACAO_1","QT_PROF_PEDAGOGIA_1","QT_PROF_SECRETARIO_1","QT_PROF_SEGURANCA_1","QT_PROF_MONITORES_1","QT_MAT_BAS_1","QT_MAT_EJA_1","QT_MAT_BAS_0_3_1","QT_MAT_BAS_4_5_1","QT_MAT_BAS_6_10_1","QT_MAT_BAS_11_14_1","QT_MAT_BAS_15_17_1","QT_MAT_BAS_18_MAIS_1","QT_DOC_BAS_1","QT_TUR_BAS_1","nEscolas","Homicidios","Furto"
"Amparo",0.923076923076923,0.923076923076923,0,0.0769230769230769,0.0769230769230769,0.307692307692308,0,0.461538461538462,0,1,0,0.961538461538462,1,0,0,0.269230769230769,321,16.4345500182321,0,0,3.26923076923077,0.423076923076923,0.384615384615385,0.461538461538462,2.69230769230769,0.115384615384615,6.34615384615385,202,107,156,130,0,9,261,0,0,0,0,0,0,0,0,0,0,0,4908,69,1287,1407,2061,82,2,69,604,302,26,4,466
"Analândia",1,1,1,0,0,1,0,1,0,0.5,0,1,1,0.5,0,0.5,327,17.2410714285715,1,0,4,0.5,0.5,0.5,3.5,0,6.5,25,14,14,14,0,1,8,0,2,5,4,0,2,9,0,0,1,0,784,0,121,133,267,243,19,1,34,44,2,1,57
"Andradina",0.366666666666667,0.533333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.5,0.1,0.266666666666667,0.1,0.766666666666667,1.26666666666667,1.86666666666667,1.56666666666667,1.23333333333333,0,0.333333333333333,316.9,16.6770948203843,0.233333333333333,0.233333333333333,4,0.5,0.3,0.233333333333333,2,0.133333333333333,4,221,27,79,35,3,11,164,4,35,93,18,35,1,18,17,19,0,8,4755,26,719,1194,2708,108,0,26,490,253,30,5,713
"Angatuba",0.666666666666667,1,0,0.111111111111111,0.111111111111111,0.444444444444444,0,0.555555555555556,0.111111111111111,0.444444444444444,0,0.888888888888889,0,0,0,0.555555555555556,322,18.9720849520849,0,0.666666666666667,2.66666666666667,0.555555555555556,0.888888888888889,0.555555555555556,2,0.222222222222222,5.77777777777778,120,30,28,52,0,9,46,0,19,45,2,0,0,19,14,8,3,0,3500,8,488,634,1328,991,50,9,177,166,9,1,194
"Anhembi",1,1,0,0,0,0.8,0.4,1,0.2,1,0,0.6,1,0,0,0.6,316.6,18.6388770053476,0,0.6,3.8,0.4,0.6,0.8,2.8,0.4,5.2,46,23,13,25,2,2,18,0,6,9,1,8,3,16,5,1,0,0,1208,0,158,178,460,379,33,0,76,65,5,0,33
"Anhumas",1,1,0,0,0,1,0.333333333333333,1,0.666666666666667,1,0,0,0.666666666666667,0,0,0.333333333333333,316,20.1929292929293,0.333333333333333,0.666666666666667,8,0.333333333333333,0.666666666666667,0.666666666666667,4,1,6.33333333333333,21,5,13,7,1,5,19,2,3,24,1,1,3,7,2,1,0,4,462,0,118,89,251,4,0,0,32,22,3,0,19
"Aparecida",1,0.846153846153846,0.653846153846154,0.0769230769230769,0.0769230769230769,0.730769230769231,0.307692307692308,0.615384615384615,0.0384615384615385,0.576923076923077,0.423076923076923,1.26923076923077,1.11538461538462,0.615384615384615,0.269230769230769,0.423076923076923,312.346153846154,20.2058893906364,0.384615384615385,0.384615384615385,4.03846153846154,0.384615384615385,0.346153846153846,0.307692307692308,2.23076923076923,0.0769230769230769,5.23076923076923,205,23,47,35,8,30,242,3,32,55,2,10,0,24,6,10,0,6,5580,140,707,758,1921,1675,312,207,301,264,26,5,568
"Aparecida d'Oeste",1,1,0.5,0,0,1,0.5,1,0,1,0,1,0.5,0.5,0.5,0.5,327,17.0929487179488,1,0.5,5,0.5,0.5,0.5,3,0.5,7,15,10,5,10,1,3,11,0,1,5,3,0,2,6,12,2,0,3,428,0,98,104,222,4,0,0,70,25,2,0,24
"Apiaí",0.466666666666667,0.6,0.2,0,0,0.533333333333333,0,0.266666666666667,0.0666666666666667,0.666666666666667,1.2,1.6,1.86666666666667,1.2,0.133333333333333,0.2,319.333333333333,15.6924675324675,0.4,0,4.13333333333333,0.4,0.266666666666667,0.0666666666666667,1.93333333333333,0.0666666666666667,4.73333333333333,117,21,49,23,0,3,59,1,14,41,17,9,0,29,7,4,6,11,2196,0,455,689,971,21,13,47,316,126,15,1,213
"Araçariguama",0.6,0.7,0.05,0.05,0.05,0.45,0.05,0.75,0.05,0.3,2.8,3.25,3.15,2.7,0,0.2,317.35,16.2058366945052,0,0,1.75,0.45,0.35,0.45,2.1,0.05,4.7,158,43,32,49,1,6,49,1,3,13,2,0,0,14,0,7,0,0,4237,157,477,665,1511,1270,224,90,373,220,20,2,203
"Araçatuba",0.953846153846154,0.953846153846154,0.4,0.123076923076923,0.138461538461538,0.707692307692308,0.107692307692308,0.815384615384615,0.338461538461538,0.861538461538462,0.0307692307692308,0.938461538461538,1,0.0153846153846154,0.230769230769231,0.4,317.415384615385,21.0114638867126,0.307692307692308,0.461538461538462,5.92307692307692,0.892307692307692,0.430769230769231,0.4,3.18461538461538,0.369230769230769,6.16923076923077,578,171,209,276,7,48,632,260,50,216,0,19,5,116,52,30,2,2,18524,261,4076,4985,8733,468,2,260,1259,864,65,23,2245
"Araçoiaba da Serra",0.791666666666667,0.708333333333333,0.25,0,0,0.458333333333333,0.458333333333333,0.5,0,0.583333333333333,0.791666666666667,1.66666666666667,1.66666666666667,0.833333333333333,0.0416666666666667,0.5,317.083333333333,19.1636544583055,0.25,0.541666666666667,4.875,0.541666666666667,0.416666666666667,0.166666666666667,2.58333333333333,0.0833333333333333,4.54166666666667,172,52,49,59,43,6,201,0,28,58,3,10,0,39,2,5,0,15,5160,0,570,810,2062,1639,79,0,509,246,24,1,287
"Aramina",1,1,0,0,0,0.75,0.25,0.75,0.25,0.75,0,0.5,0.25,0,0.25,0.25,310,13.5197368421053,0.25,0.25,4.75,0.25,0.25,0.5,2.75,0.5,5.5,32,4,3,14,11,12,7,0,0,8,1,10,4,7,4,4,0,3,640,0,152,141,328,19,0,0,50,41,4,1,43
"Arandu",0.4,0.8,0,0,0,1,0,0.2,0,0.4,0,0.6,0.2,0,0,0.4,320,15.9090909090909,0,0.8,2.8,0.6,0.6,0.6,3,0.2,6.4,32,14,5,13,0,2,31,0,10,12,0,0,0,1,3,1,0,0,699,0,103,168,415,13,0,0,46,39,5,0,21
"Arapeí",1,1,0.5,0.5,0.5,0.5,0,1,0,0,4.5,5,5,4.5,0,0.5,319,18.5592105263158,0.5,0,0.5,0,0,0,1,0,4.5,15,3,1,8,0,0,0,0,1,11,0,7,1,10,3,1,0,0,424,19,20,55,165,151,15,18,16,23,2,0,9
"Araraquara",1,0.836363636363636,0.254545454545455,0.0363636363636364,0.0363636363636364,0.345454545454545,0.436363636363636,0.454545454545455,0.145454545454545,0.963636363636364,0.181818181818182,0.327272727272727,1.05454545454545,0.418181818181818,0.563636363636364,0.345454545454545,315.672727272727,14.0237333448082,0.181818181818182,0.327272727272727,5.76363636363636,0.818181818181818,0.309090909090909,0.309090909090909,2.69090909090909,0.236363636363636,5.61818181818182,555,95,188,118,24,24,502,55,14,176,17,19,5,180,49,8,20,23,18146,422,5267,4702,5170,2392,269,346,828,1234,55,15,2465
"Araras",0.953488372093023,0.976744186046512,0.395348837209302,0.0465116279069767,0.0465116279069767,0.767441860465116,0.418604651162791,0.953488372093023,0.0465116279069767,0.86046511627907,0.697674418604651,1.53488372093023,1.51162790697674,0.720930232558139,0,0.511627906976744,315.093023255814,19.6065989598049,0.232558139534884,0.325581395348837,5.41860465116279,0.651162790697674,0.418604651162791,0.534883720930233,3.09302325581395,0.348837209302326,4.97674418604651,432,112,122,130,83,13,364,10,11,167,1,6,2,92,8,33,1,95,13738,413,3847,3805,3857,1677,174,378,817,679,43,7,1198
"Arco-Íris",1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,350,15.75,0,1,6,1,1,1,4,1,9,13,6,5,6,1,1,15,0,2,8,1,1,1,8,1,1,1,2,189,0,29,55,105,0,0,0,7,12,1,0,3
"Arealva",1,1,0.857142857142857,0.142857142857143,0.142857142857143,1,0.714285714285714,0.857142857142857,1,0.714285714285714,0,0.857142857142857,1,0,0.857142857142857,0.428571428571429,318.428571428571,14.7470315398887,1,1,6.85714285714286,0.857142857142857,0.142857142857143,1,3.57142857142857,0.714285714285714,5.85714285714286,44,12,13,18,5,7,8,8,5,20,0,48,7,7,9,1,0,0,780,10,131,192,439,8,0,10,119,50,7,2,109
"Areias",0.75,0.75,0.25,0,0,0.75,0,0.75,0,0.75,0,0.5,0.5,0,0.5,0.5,315.25,16.1916666666667,0.75,0,3.75,0.5,0.25,0,1.75,0,6.25,26,4,6,10,0,2,27,24,3,13,0,8,2,6,3,5,2,1,630,0,48,101,254,209,17,1,82,32,4,0,19
"Areiópolis",1,1,0.428571428571429,0.142857142857143,0.142857142857143,0.714285714285714,0,0.714285714285714,0.285714285714286,0.714285714285714,2.57142857142857,3.28571428571429,3,2.57142857142857,0.142857142857143,0.285714285714286,325,19.1513605442177,0.142857142857143,0.142857142857143,2.85714285714286,0.428571428571429,0.428571428571429,0.285714285714286,3,0,5.71428571428571,60,15,22,27,0,3,68,0,6,22,1,1,0,1,1,1,2,0,1867,68,172,301,674,592,82,46,154,90,7,2,38
"Ariranha",1,1,1,0,0,1,0,0.75,0,0.75,0,1,1,0.5,0,0.5,317,18.332702020202,0,1,5.25,0.75,0.75,0.5,3,0.5,6,42,4,13,7,0,4,52,3,7,31,1,0,0,18,4,3,0,0,809,0,161,190,451,7,0,0,69,44,4,0,40
